t_secs,rel_size_bytes,dead_tup,pending,total
0,16384,0,101,101
5,475136,802,300,1102
10,999424,1806,297,2103
15,1515520,2808,297,3105
20,2031616,3810,296,4106
25,2547712,4814,294,5108
30,3055616,5818,291,6109
35,3579904,6822,289,7111
40,4079616,0,287,8112
45,4079616,1004,285,9114
50,4079616,2006,285,10116
55,4079616,3008,284,11117
60,4194304,9012,282,1286
65,4718592,10014,282,2288
70,5226496,16849,281,3289
75,5750784,17852,279,4290
80,6266880,18855,278,5292
85,6782976,19857,277,6293
90,7299072,20859,277,7295
95,7806976,21862,275,8296
100,8314880,0,274,9298
105,8314880,1004,271,10299
110,8314880,2006,270,11300
115,8314880,3010,268,12302
120,8314880,9012,267,1269
125,8314880,10015,266,2271
130,8314880,18051,266,3273
135,8314880,19054,264,4274
140,8314880,20056,264,5276
145,8314880,21058,263,6277
150,8314880,22061,262,7279
155,8314880,23064,261,8281
160,8544256,0,260,9284
165,8544256,1003,258,10285
170,8544256,2005,257,11286
175,8544256,3008,256,12288
180,8544256,9010,257,1259
185,8544256,10013,256,2261
190,8544256,18048,254,3262
195,8544256,19051,254,4265
200,8544256,20053,254,5267
205,8544256,21056,253,6269
210,8544256,22058,253,7271
215,8544256,23060,253,8273
220,8544256,0,252,9274
225,8544256,1002,252,10276
230,8544256,2005,251,11278
235,8544256,3007,250,12279
240,8544256,9009,249,1251
245,8544256,10012,248,2253
250,8544256,18045,245,3254
255,8544256,19049,243,4256
260,8544256,20053,241,5258
265,8544256,21055,241,6260
270,8544256,22058,240,7262
275,8544256,23061,238,8263
280,8544256,0,238,9265
285,8544256,1003,237,10267
290,8544256,2006,235,11268
295,8544256,3008,235,12270
300,8544256,16046,134,1137
