t_secs,queue_depth
0,3
2,4
4,5
6,4
8,3
10,4
12,0
14,5
16,0
18,2
20,4
22,5
24,0
26,4
28,5
30,26
32,3110
34,6716
36,10666
38,14696
40,18673
42,22534
44,26322
46,30283
48,34094
50,37977
52,41724
54,45302
56,49036
58,52688
60,56490
62,60186
64,63600
66,67279
68,71032
70,74784
72,78364
74,81829
76,85596
78,89082
80,92993
82,96771
85,100178
87,102066
89,103857
91,103412
93,101209
95,99094
97,97117
99,95512
101,93740
103,92369
105,90976
107,89604
109,88604
111,87461
113,86746
115,86124
117,85265
119,84694
121,81419
123,77154
125,72859
127,68517
129,64424
131,60257
133,56262
135,52347
137,48389
139,44637
141,40919
143,37321
145,33985
147,27992
149,21037
151,14054
153,7738
155,1608
156,0
