t_secs,rel_size_bytes,dead_tup,pending,total
0,16384,0,101,101
5,475136,802,300,1102
10,999424,1804,299,2103
15,1515520,2806,298,3104
20,2031616,3809,297,4106
25,2539520,4812,295,5107
30,3063808,5815,294,6109
35,3579904,6818,293,7111
40,4087808,7821,292,8113
45,4169728,801,291,9114
50,4169728,1804,290,10116
55,4169728,2806,290,11118
60,4169728,3808,290,12120
65,4661248,4810,290,13122
70,5185536,5813,289,14124
75,5693440,6816,287,15125
80,6217728,7818,287,16127
85,6725632,8820,286,17128
90,7249920,9823,285,18130
95,7757824,10825,284,19131
100,8282112,11827,283,20132
105,8355840,802,282,21134
110,8355840,1804,281,22135
115,8355840,2807,280,23137
120,8355840,3810,279,24139
125,8355840,4812,278,25140
130,8355840,5815,277,26142
135,8880128,6817,277,27144
140,9396224,7819,277,28146
145,9912320,8821,276,29147
150,10428416,9824,276,30150
155,10944512,10826,276,31152
160,11452416,11828,275,32153
165,11526144,802,275,33155
170,11526144,1804,274,34156
175,11526144,2806,275,35159
180,11526144,3808,275,36161
185,11526144,4811,273,37162
190,11534336,5814,272,38164
195,12058624,6818,270,39166
200,12566528,7821,269,40168
205,13090816,8823,268,41169
210,13598720,9825,268,42171
215,14123008,10827,268,43173
220,14630912,11831,266,44175
225,14696448,802,266,45177
230,14696448,1805,265,46179
235,14696448,2808,263,47180
240,14696448,3809,264,48182
245,14696448,4812,263,49184
250,14712832,5814,263,50186
255,15237120,6816,262,51187
260,15745024,7818,262,52189
265,16269312,8820,263,53192
270,16777216,9823,262,54194
275,17301504,10825,262,55196
280,17809408,11828,260,56197
285,17874944,1002,260,57199
290,17874944,2004,260,58201
295,17874944,3007,259,59203
300,17874944,4010,153,60100
