variant,t_ms,stream_msgs,lag_bytes
batched-narrow,0,0,10602680
batched-narrow,203,11863,10645488
batched-narrow,406,25500,10645488
batched-narrow,609,43500,10645488
batched-narrow,812,50000,10645488
singletxn-narrow,0,0,11017912
singletxn-narrow,203,0,11050864
singletxn-narrow,427,114,11050864
singletxn-narrow,630,33994,11050864
singletxn-narrow,832,50000,11050864
singletxn-narrow-spill64kb,0,0,10637088
singletxn-narrow-spill64kb,203,0,10637088
singletxn-narrow-spill64kb,405,0,10637088
singletxn-narrow-spill64kb,607,768,10637088
singletxn-narrow-spill64kb,810,28335,10637088
singletxn-narrow-spill64kb,1011,50000,10637088
singletxn-wide,0,0,83072520
singletxn-wide,203,0,83072520
singletxn-wide,405,0,83072520
singletxn-wide,693,63,83073024
singletxn-wide,897,12000,83073024
