window_s,path,app_p50_ms,app_p99_ms,writes
0,old-outbox,0.698,1.757,40
0,new-cdc,0.349,0.853,40
1,old-outbox,0.656,2.331,40
1,new-cdc,0.350,0.879,40
2,old-outbox,0.629,1.125,40
2,new-cdc,0.311,1.139,40
3,old-outbox,0.610,1.284,40
3,new-cdc,0.348,0.579,40
4,old-outbox,0.631,1.880,398
4,new-cdc,0.538,1.921,397
5,old-outbox,0.635,1.803,400
5,new-cdc,0.563,1.793,401
6,old-outbox,0.659,1.788,402
6,new-cdc,0.572,1.830,402
7,old-outbox,0.628,1.788,400
7,new-cdc,0.537,1.546,400
8,old-outbox,0.643,1.763,399
8,new-cdc,0.558,1.681,398
9,old-outbox,0.679,1.489,41
9,new-cdc,0.340,1.779,42
10,old-outbox,0.632,1.464,40
10,new-cdc,0.373,2.017,40
11,old-outbox,1.557,9.984,40
11,new-cdc,1.045,7.782,40
12,old-outbox,3.175,13.381,40
12,new-cdc,2.620,13.444,40
13,old-outbox,3.348,11.375,40
13,new-cdc,2.480,11.938,40
14,old-outbox,1.218,6.488,40
14,new-cdc,0.858,2.453,40
15,old-outbox,2.033,5.386,40
15,new-cdc,1.513,5.561,40
16,old-outbox,2.544,11.744,40
16,new-cdc,1.838,11.301,40
17,old-outbox,3.386,27.688,40
17,new-cdc,3.306,24.071,40
18,old-outbox,3.751,29.376,40
18,new-cdc,2.560,7.912,40
19,old-outbox,4.334,18.452,40
19,new-cdc,3.339,22.532,40
20,old-outbox,3.144,17.184,40
20,new-cdc,3.488,14.278,40
21,old-outbox,2.827,7.853,40
21,new-cdc,2.671,8.664,40
22,old-outbox,2.266,7.967,40
22,new-cdc,1.751,9.824,40
