path,rate_target,bucket_lo,bucket_hi,count
old-outbox,10,0,10,24
old-outbox,10,10,25,31
old-outbox,10,25,50,58
old-outbox,10,50,100,7
old-outbox,10,100,250,0
old-outbox,10,250,500,0
old-outbox,10,500,1000,0
old-outbox,10,1000,inf,0
new-cdc,10,0,10,0
new-cdc,10,10,25,10
new-cdc,10,25,50,12
new-cdc,10,50,100,1
new-cdc,10,100,250,80
new-cdc,10,250,500,17
new-cdc,10,500,1000,0
new-cdc,10,1000,inf,0
old-outbox,50,0,10,96
old-outbox,50,10,25,166
old-outbox,50,25,50,252
old-outbox,50,50,100,86
old-outbox,50,100,250,0
old-outbox,50,250,500,0
old-outbox,50,500,1000,0
old-outbox,50,1000,inf,0
new-cdc,50,0,10,0
new-cdc,50,10,25,0
new-cdc,50,25,50,9
new-cdc,50,50,100,116
new-cdc,50,100,250,453
new-cdc,50,250,500,22
new-cdc,50,500,1000,0
new-cdc,50,1000,inf,0
