t_ms,old_backlog,new_pending
2,1,0
204,1,0
405,1,0
607,1,0
808,1,0
1012,1,0
1214,1,0
1416,1,0
1617,1,0
1819,0,0
2020,1,0
2222,1,0
2425,1,0
2627,0,0
2828,0,0
3030,1,0
3231,1,0
3433,0,0
3634,0,0
3835,1,0
4037,7,0
4238,3,0
4439,10,0
4641,5,0
4843,10,0
5045,6,0
5250,12,0
5451,3,0
5653,10,0
5855,3,0
6057,10,0
6259,4,0
6462,10,0
6663,4,0
6864,10,0
7066,1,0
7268,0,0
7470,1,0
7672,1,0
7874,1,0
8077,0,0
8279,0,0
8480,1,0
8682,1,0
8885,0,0
9087,0,0
9288,1,0
9490,1,0
9691,0,0
9893,0,0
10095,0,0
10297,0,0
10498,0,0
10701,0,0
10903,0,0
11104,1,0
11307,1,0
11509,1,0
11711,1,0
11912,0,0
12113,1,0
12315,1,0
12517,0,0
12719,0,0
12921,1,0
13122,1,0
13325,0,0
13527,0,0
13729,1,0
13931,1,0
14133,0,0
14336,0,0
14537,1,0
14738,1,0
14941,0,0
15142,0,0
15345,0,0
15546,1,0
15749,0,0
15952,0,0
16154,1,0
16356,1,0
16558,1,0
16760,1,0
16962,1,0
17164,1,0
17365,1,0
17568,1,0
17769,1,0
17972,0,0
18173,1,0
18374,1,0
18577,1,0
18779,0,0
18980,0,0
19181,1,0
19384,1,0
19585,0,0
19787,0,0
19989,0,0
20191,1,0
20392,1,0
20594,0,0
20795,0,0
20997,0,0
21199,0,0
21401,0,0
21603,0,0
21805,0,0
22007,0,0
22208,0,0
22411,0,0
22613,0,0
22815,0,0
23017,0,0
23218,0,0
23422,0,0
23624,0,0
23826,0,0
24028,0,0
24229,0,0
24431,0,0
24632,0,0
24834,0,0
