path,rate_target,bucket_lo,bucket_hi,count
old-outbox,10,0,10,24
old-outbox,10,10,25,36
old-outbox,10,25,50,59
old-outbox,10,50,100,1
old-outbox,10,100,250,0
old-outbox,10,250,500,0
old-outbox,10,500,1000,0
old-outbox,10,1000,inf,0
new-cdc,10,0,10,0
new-cdc,10,10,25,0
new-cdc,10,25,50,0
new-cdc,10,50,100,25
new-cdc,10,100,250,48
new-cdc,10,250,500,47
new-cdc,10,500,1000,0
new-cdc,10,1000,inf,0
old-outbox,50,0,10,120
old-outbox,50,10,25,162
old-outbox,50,25,50,284
old-outbox,50,50,100,34
old-outbox,50,100,250,0
old-outbox,50,250,500,0
old-outbox,50,500,1000,0
old-outbox,50,1000,inf,0
new-cdc,50,0,10,0
new-cdc,50,10,25,2
new-cdc,50,25,50,15
new-cdc,50,50,100,116
new-cdc,50,100,250,423
new-cdc,50,250,500,44
new-cdc,50,500,1000,0
new-cdc,50,1000,inf,0
