pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 183143
number of failed transactions: 0 (0.000%)
latency average = 0.055 ms
initial connection time = 6.267 ms
tps = 18325.621569 (without initial connection time)
===LOGS===
0 14 32 0 1788649893 753190
0 111 32 0 1788649893 756684
0 130 31 0 1788649893 757357
0 161 33 0 1788649893 758371
0 164 32 0 1788649893 758468
0 169 47 0 1788649893 758889
0 176 109 0 1788649893 759309
0 196 38 0 1788649893 760138
0 201 42 0 1788649893 760378
0 207 41 0 1788649893 760624
0 211 41 0 1788649893 760815
0 265 32 0 1788649893 762970
0 268 32 0 1788649893 763070
0 283 32 0 1788649893 763575
0 290 40 0 1788649893 763841
0 292 37 0 1788649893 763917
0 293 34 0 1788649893 763953
0 309 32 0 1788649893 764460
0 338 32 0 1788649893 765393
0 398 32 0 1788649893 767434
0 419 32 0 1788649893 768134
0 437 58 0 1788649893 768750
0 446 35 0 1788649893 769051
0 447 32 0 1788649893 769084
0 448 32 0 1788649893 769117
0 451 34 0 1788649893 769222
0 468 35 0 1788649893 769811
0 474 33 0 1788649893 770007
0 478 32 0 1788649893 770146
0 517 33 0 1788649893 771500
0 521 39 0 1788649893 771644
0 549 47 0 1788649893 772837
0 574 53 0 1788649893 773711
0 575 58 0 1788649893 773777
0 576 38 0 1788649893 773816
0 594 35 0 1788649893 774570
0 608 34 0 1788649893 775178
0 629 40 0 1788649893 775980
0 663 43 0 1788649893 777466
0 669 79 0 1788649893 777892
0 674 38 0 1788649893 778183
0 684 45 0 1788649893 778677
0 685 66 0 1788649893 778745
0 713 45 0 1788649893 780015
0 748 45 0 1788649893 781678
0 755 52 0 1788649893 782097
0 760 57 0 1788649893 782368
0 790 48 0 1788649893 784242
0 809 49 0 1788649893 785265
0 811 45 0 1788649893 785360
0 825 48 0 1788649893 786010
0 833 41 0 1788649893 786419
0 880 41 0 1788649893 788310
0 884 39 0 1788649893 788495
0 904 75 0 1788649893 789647
0 928 44 0 1788649893 790678
0 939 44 0 1788649893 791188
0 946 38 0 1788649893 791480
0 960 38 0 1788649893 792017
0 984 34 0 1788649893 792880
0 986 41 0 1788649893 792956
0 1008 32 0 1788649893 793819
0 1016 32 0 1788649893 794083
0 1022 37 0 1788649893 794284
0 1024 38 0 1788649893 794360
0 1037 43 0 1788649893 794905
0 1042 33 0 1788649893 795081
0 1049 32 0 1788649893 795309
0 1050 32 0 1788649893 795342
0 1059 34 0 1788649893 795648
0 1111 57 0 1788649893 798151
0 1134 41 0 1788649893 799443
0 1169 92 0 1788649893 801135
0 1192 53 0 1788649893 802594
0 1223 33 0 1788649893 804296
0 1229 33 0 1788649893 804504
0 1261 49 0 1788649893 806265
0 1280 45 0 1788649893 807384
0 1330 45 0 1788649893 809641
0 1331 45 0 1788649893 809688
0 1347 44 0 1788649893 810427
0 1356 44 0 1788649893 810846
0 1380 35 0 1788649893 812161
0 1385 39 0 1788649893 812360
0 1465 33 0 1788649893 816874
0 1493 33 0 1788649893 817875
0 1506 32 0 1788649893 818297
0 1511 32 0 1788649893 818460
0 1538 33 0 1788649893 819378
0 1587 43 0 1788649893 821226
0 1599 64 0 1788649893 821744
0 1612 46 0 1788649893 822443
0 1658 45 0 1788649893 825003
0 1696 42 0 1788649893 826865
0 1723 56 0 1788649893 828091
0 1762 34 0 1788649893 829505
0 1777 35 0 1788649893 830069
0 1791 45 0 1788649893 830598
0 1805 44 0 1788649893 831247
0 1821 44 0 1788649893 831988
0 1826 44 0 1788649893 832214
0 1831 45 0 1788649893 832443
0 1841 44 0 1788649893 832906
0 1863 32 0 1788649893 833983
0 1870 90 0 1788649893 834317
0 1962 51 0 1788649893 837748
0 1966 55 0 1788649893 837944
0 1973 46 0 1788649893 838267
0 2034 45 0 1788649893 841116
0 2037 44 0 1788649893 841252
0 2099 74 0 1788649893 843771
0 2115 37 0 1788649893 844481
0 2116 38 0 1788649893 844523
0 2119 49 0 1788649893 844663
