pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 64
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 656340
number of failed transactions: 0 (0.000%)
latency average = 0.954 ms
initial connection time = 245.333 ms
tps = 67098.615152 (without initial connection time)
===LOGS===
1 1 24635 0 1788651300 606750
5 1 12604 0 1788651300 606776
2 6 157 0 1788651300 607933
0 6 553 0 1788651300 612521
4 6 1143 0 1788651300 613925
0 11 781 0 1788651300 615092
0 12 288 0 1788651300 615386
0 23 395 0 1788651300 620632
3 11 815 0 1788651300 620645
2 40 199 0 1788651300 624367
4 11 1205 0 1788651300 625397
2 53 469 0 1788651300 631146
2 58 1038 0 1788651300 634021
0 49 433 0 1788651300 636201
0 51 0 0 1788651300 637042
2 66 495 0 1788651300 637932
6 12 1424 0 1788651300 638311
0 61 513 0 1788651300 641946
4 22 1330 0 1788651300 646552
0 74 183 0 1788651300 649539
3 37 1148 0 1788651300 652697
5 76 1162 0 1788651300 655767
2 87 238 0 1788651300 656060
5 77 424 0 1788651300 656264
1 32 664 0 1788651300 659032
3 42 678 0 1788651300 661324
3 44 1041 0 1788651300 663129
4 40 581 0 1788651300 663856
1 41 2152 0 1788651300 666043
6 38 2015 0 1788651300 669195
0 127 339 0 1788651300 669847
5 102 0 0 1788651300 670183
5 103 132 0 1788651300 670320
3 50 1329 0 1788651300 673167
3 53 1482 0 1788651300 677553
3 54 832 0 1788651300 678533
2 137 380 0 1788651300 679778
3 55 1343 0 1788651300 680302
5 117 495 0 1788651300 681443
7 36 1202 0 1788651300 682164
7 37 1686 0 1788651300 683900
5 127 513 0 1788651300 687152
1 65 0 0 1788651300 688194
2 154 279 0 1788651300 689087
1 67 862 0 1788651300 689962
6 52 1652 0 1788651300 695654
1 77 794 0 1788651300 696839
2 160 2473 0 1788651300 696847
7 46 1736 0 1788651300 700081
5 150 1734 0 1788651300 700465
1 87 831 0 1788651300 703028
6 66 808 0 1788651300 709671
3 76 1657 0 1788651300 710470
3 77 1363 0 1788651300 711866
4 91 1126 0 1788651300 714209
3 78 2325 0 1788651300 714611
0 186 914 0 1788651300 715129
2 183 352 0 1788651300 717973
6 85 236 0 1788651300 725943
4 102 554 0 1788651300 727396
4 104 1162 0 1788651300 729377
2 191 2876 0 1788651300 732112
1 121 945 0 1788651300 732572
3 87 2935 0 1788651300 733752
1 123 1051 0 1788651300 734847
2 194 1297 0 1788651300 737172
5 197 737 0 1788651300 737182
6 101 277 0 1788651300 738810
5 199 643 0 1788651300 740756
2 197 1248 0 1788651300 742040
7 73 0 0 1788651300 745630
4 117 864 0 1788651300 745666
4 118 1241 0 1788651300 746911
0 233 833 0 1788651300 754110
4 131 448 0 1788651300 757576
6 121 582 0 1788651300 759051
1 156 728 0 1788651300 761562
3 102 1557 0 1788651300 765409
1 165 292 0 1788651300 766016
1 169 659 0 1788651300 769139
5 248 154 0 1788651300 773023
1 195 163 0 1788651300 780384
3 110 1432 0 1788651300 781199
6 152 157 0 1788651300 786734
1 212 228 0 1788651300 787688
0 268 831 0 1788651300 793430
3 119 773 0 1788651300 796229
7 101 765 0 1788651300 797501
6 165 379 0 1788651300 798955
1 238 827 0 1788651300 799620
7 108 628 0 1788651300 804249
3 127 474 0 1788651300 804397
4 161 781 0 1788651300 822208
3 136 0 0 1788651300 887625
3 144 0 0 1788651300 888958
3 169 0 0 1788651300 901827
3 183 0 0 1788651300 924406
3 210 196 0 1788651300 943881
0 277 999 0 1788651300 951175
1 275 1178 0 1788651300 959393
3 235 659 0 1788651300 959404
4 175 825 0 1788651300 962999
5 294 735 0 1788651300 964984
3 244 1032 0 1788651300 970625
1 287 1943 0 1788651300 972574
1 289 927 0 1788651300 974399
3 253 2040 0 1788651300 983110
6 195 2351 0 1788651300 984091
1 299 1218 0 1788651300 984467
1 301 1081 0 1788651300 986504
5 314 4630 0 1788651300 987903
4 203 751 0 1788651300 995741
7 148 1531 0 1788651300 998936
6 209 688 0 1788651301 3780
7 156 483 0 1788651301 6129
7 158 368 0 1788651301 6995
7 167 743 0 1788651301 11993
5 339 0 0 1788651301 19864
2 308 1781 0 1788651301 27133
6 233 1680 0 1788651301 30556
0 348 0 0 1788651301 34392
2 312 1969 0 1788651301 35031
6 237 1521 0 1788651301 37776
0 353 1050 0 1788651301 42122
2 330 1253 0 1788651301 65079
6 251 4444 0 1788651301 73331
2 333 1730 0 1788651301 74328
3 318 2295 0 1788651301 75819
1 385 934 0 1788651301 81203
5 372 1642 0 1788651301 85208
6 257 881 0 1788651301 87045
0 386 2110 0 1788651301 93576
1 401 813 0 1788651301 95567
6 269 126 0 1788651301 100043
2 358 175 0 1788651301 100669
2 359 374 0 1788651301 101051
6 271 420 0 1788651301 101063
5 378 2538 0 1788651301 103627
6 280 552 0 1788651301 110333
2 380 691 0 1788651301 116111
6 289 406 0 1788651301 116147
0 397 2477 0 1788651301 119205
1 404 0 0 1788651301 125490
0 406 989 0 1788651301 134149
2 403 0 0 1788651301 138585
2 409 1144 0 1788651301 151189
7 225 1627 0 1788651301 151611
6 324 662 0 1788651301 158618
0 425 205 0 1788651301 162903
0 429 220 0 1788651301 163634
2 421 1444 0 1788651301 166629
7 235 2700 0 1788651301 172667
4 313 0 0 1788651301 180486
4 317 1100 0 1788651301 184763
6 349 739 0 1788651301 188063
3 375 1798 0 1788651301 191658
1 459 1912 0 1788651301 192770
2 452 511 0 1788651301 204052
2 457 1013 0 1788651301 209536
0 482 1839 0 1788651301 210417
6 372 459 0 1788651301 220376
3 396 2144 0 1788651301 240381
4 358 1023 0 1788651301 242618
1 483 1090 0 1788651301 243740
6 395 4295 0 1788651301 247997
3 399 3707 0 1788651301 248481
4 365 699 0 1788651301 249207
5 446 1453 0 1788651301 263552
5 456 2283 0 1788651301 283083
7 286 8611 0 1788651301 290333
4 421 795 0 1788651301 291205
6 421 446 0 1788651301 291527
1 520 107 0 1788651301 293599
0 534 237 0 1788651301 294143
1 526 189 0 1788651301 295326
1 528 191 0 1788651301 295712
1 543 272 0 1788651301 298896
1 546 199 0 1788651301 299573
0 559 191 0 1788651301 299672
0 565 274 0 1788651301 301087
1 554 366 0 1788651301 301365
6 428 901 0 1788651301 301374
1 558 187 0 1788651301 302610
1 566 312 0 1788651301 304407
4 435 1013 0 1788651301 307405
4 436 240 0 1788651301 307674
6 437 951 0 1788651301 308411
1 582 427 0 1788651301 314065
5 470 1796 0 1788651301 314447
7 297 4389 0 1788651301 315858
4 450 204 0 1788651301 317212
4 456 281 0 1788651301 319378
1 596 473 0 1788651301 319474
6 444 758 0 1788651301 320670
0 617 668 0 1788651301 324140
2 550 616 0 1788651301 325139
2 551 576 0 1788651301 325739
4 483 551 0 1788651301 331777
0 637 270 0 1788651301 332330
1 628 223 0 1788651301 333104
1 632 1321 0 1788651301 335254
0 644 241 0 1788651301 335416
2 560 664 0 1788651301 335731
6 462 583 0 1788651301 336019
4 494 321 0 1788651301 336148
0 651 366 0 1788651301 337474
2 565 1095 0 1788651301 339702
6 481 1128 0 1788651301 355027
4 520 603 0 1788651301 355506
2 589 950 0 1788651301 363888
4 543 311 0 1788651301 365834
1 687 348 0 1788651301 370216
4 592 397 0 1788651301 377384
4 603 87 0 1788651301 378596
4 616 187 0 1788651301 380031
4 621 291 0 1788651301 380833
4 646 92 0 1788651301 385264
4 648 161 0 1788651301 385733
4 670 385 0 1788651301 390072
0 712 4263 0 1788651301 390163
2 612 199 0 1788651301 390930
2 642 177 0 1788651301 396563
4 692 462 0 1788651301 398366
2 674 136 0 1788651301 402004
4 706 444 0 1788651301 403904
2 689 174 0 1788651301 405418
5 507 4441 0 1788651301 408006
4 730 169 0 1788651301 411871
4 732 151 0 1788651301 412252
5 511 4080 0 1788651301 424126
7 347 6076 0 1788651301 459762
6 516 814 0 1788651301 480580
6 518 4266 0 1788651301 485871
4 777 1646 0 1788651301 489569
3 492 1221 0 1788651301 497570
1 731 3185 0 1788651301 503229
5 531 2352 0 1788651301 503689
7 368 1072 0 1788651301 505653
2 783 965 0 1788651301 511222
4 784 1169 0 1788651301 514486
7 385 956 0 1788651301 522201
3 516 393 0 1788651301 522875
2 796 998 0 1788651301 524225
7 389 981 0 1788651301 526250
5 539 3332 0 1788651301 527727
3 522 899 0 1788651301 529734
7 395 494 0 1788651301 532299
3 529 915 0 1788651301 537497
2 815 999 0 1788651301 542689
2 829 774 0 1788651301 554182
4 812 304 0 1788651301 555361
5 553 2327 0 1788651301 559335
3 545 1951 0 1788651301 559726
3 547 1789 0 1788651301 564289
7 440 596 0 1788651301 567588
4 843 465 0 1788651301 569008
6 555 2774 0 1788651301 570367
6 556 2148 0 1788651301 572520
7 447 757 0 1788651301 573693
7 455 839 0 1788651301 580244
5 564 1413 0 1788651301 582639
7 462 483 0 1788651301 588576
7 472 759 0 1788651301 595809
2 886 760 0 1788651301 597971
7 475 694 0 1788651301 598156
3 567 1758 0 1788651301 599757
2 889 489 0 1788651301 599822
2 897 596 0 1788651301 604633
7 487 761 0 1788651301 605741
3 578 1440 0 1788651301 618257
3 580 1195 0 1788651301 620782
2 907 1326 0 1788651301 622600
7 496 2023 0 1788651301 623545
5 589 1646 0 1788651301 628473
3 593 1330 0 1788651301 641084
7 512 1274 0 1788651301 644001
3 598 1347 0 1788651301 647352
3 605 1542 0 1788651301 656299
3 609 1544 0 1788651301 661982
1 819 512 0 1788651301 662693
2 938 205 0 1788651301 665163
5 619 871 0 1788651301 665653
1 833 129 0 1788651301 666403
3 612 1603 0 1788651301 666412
1 836 207 0 1788651301 666899
1 842 209 0 1788651301 667870
5 621 945 0 1788651301 667879
1 850 0 0 1788651301 669483
1 851 145 0 1788651301 669634
6 645 663 0 1788651301 675694
3 623 428 0 1788651301 677836
1 890 336 0 1788651301 679672
2 959 1772 0 1788651301 693805
1 910 429 0 1788651301 695477
4 900 1585 0 1788651301 697240
7 560 340 0 1788651301 704302
3 642 2653 0 1788651301 705426
1 920 1272 0 1788651301 706319
0 779 936 0 1788651301 709269
7 582 166 0 1788651301 711361
6 702 304 0 1788651301 714375
0 784 1268 0 1788651301 714579
5 692 426 0 1788651301 716616
5 695 437 0 1788651301 717503
5 698 654 0 1788651301 719097
5 699 235 0 1788651301 719357
7 612 309 0 1788651301 721445
5 707 294 0 1788651301 722400
6 727 299 0 1788651301 722630
7 628 252 0 1788651301 727459
0 802 829 0 1788651301 735358
2 1031 396 0 1788651301 735785
3 649 3813 0 1788651301 736592
2 1044 308 0 1788651301 741433
2 1053 471 0 1788651301 745731
0 819 588 0 1788651301 747807
4 950 809 0 1788651301 748932
6 766 2412 0 1788651301 752810
4 954 799 0 1788651301 753214
1 949 841 0 1788651301 754553
4 963 808 0 1788651301 760928
0 838 365 0 1788651301 761298
2 1083 2435 0 1788651301 763779
0 847 674 0 1788651301 767584
0 848 596 0 1788651301 768184
1 983 526 0 1788651301 774128
1 984 392 0 1788651301 774523
5 746 916 0 1788651301 774657
6 777 2329 0 1788651301 779267
7 660 2383 0 1788651301 779943
5 751 173 0 1788651301 780871
2 1142 324 0 1788651301 791408
1 1078 165 0 1788651301 797495
1 1090 86 0 1788651301 799316
1 1106 169 0 1788651301 801448
0 903 800 0 1788651301 801474
2 1179 275 0 1788651301 802731
1 1116 162 0 1788651301 802897
0 908 445 0 1788651301 804578
1 1130 88 0 1788651301 804953
4 1010 547 0 1788651301 812809
0 920 581 0 1788651301 813613
4 1012 456 0 1788651301 813708
2 1202 162 0 1788651301 813908
1 1150 655 0 1788651301 814175
1 1157 357 0 1788651301 818178
2 1234 421 0 1788651301 824328
2 1236 373 0 1788651301 824987
1 1167 2292 0 1788651301 846679
4 1015 2202 0 1788651301 849704
0 940 2499 0 1788651301 851186
4 1023 1615 0 1788651301 864088
6 786 1641 0 1788651301 864131
2 1341 259 0 1788651301 869107
2 1351 258 0 1788651301 872374
0 954 1459 0 1788651301 876464
3 693 1730 0 1788651301 890337
0 970 1142 0 1788651301 891384
2 1387 379 0 1788651301 892496
1 1206 535 0 1788651301 895745
6 808 954 0 1788651301 896889
2 1403 214 0 1788651301 897443
2 1411 282 0 1788651301 900021
0 990 406 0 1788651301 902528
2 1428 183 0 1788651301 904317
1 1224 570 0 1788651301 905545
0 996 594 0 1788651301 905664
4 1059 902 0 1788651301 910065
4 1061 1019 0 1788651301 911975
0 1014 309 0 1788651301 913734
6 834 533 0 1788651301 913746
0 1017 295 0 1788651301 914924
3 702 3089 0 1788651301 915335
1 1252 194 0 1788651301 916473
0 1029 247 0 1788651301 917773
1 1266 214 0 1788651301 919551
2 1515 238 0 1788651301 919814
1 1270 199 0 1788651301 920538
2 1520 226 0 1788651301 920881
2 1538 187 0 1788651301 924097
2 1542 230 0 1788651301 924897
2 1561 231 0 1788651301 928283
7 702 3212 0 1788651301 928576
5 796 2733 0 1788651301 928923
0 1079 256 0 1788651301 929138
4 1075 823 0 1788651301 929362
4 1076 1085 0 1788651301 930468
1 1317 217 0 1788651301 931027
0 1091 161 0 1788651301 931786
0 1092 267 0 1788651301 932058
0 1094 196 0 1788651301 932477
0 1096 239 0 1788651301 932945
0 1102 178 0 1788651301 934230
2 1594 802 0 1788651301 935505
1 1340 198 0 1788651301 936798
1 1352 229 0 1788651301 939458
1 1353 220 0 1788651301 939683
4 1085 1398 0 1788651301 943079
0 1139 202 0 1788651301 943376
2 1638 186 0 1788651301 943383
4 1087 1612 0 1788651301 946462
0 1153 244 0 1788651301 946662
1 1387 194 0 1788651301 947644
0 1164 219 0 1788651301 949075
1 1404 216 0 1788651301 951244
2 1677 131 0 1788651301 951404
2 1691 148 0 1788651301 954074
0 1190 206 0 1788651301 955070
1 1421 231 0 1788651301 955212
0 1194 196 0 1788651301 956002
2 1703 203 0 1788651301 956367
1 1428 200 0 1788651301 956772
1 1429 213 0 1788651301 956993
1 1433 196 0 1788651301 957977
0 1212 224 0 1788651301 960273
6 892 3020 0 1788651301 960569
