MemTotal:       63903732 kB
MemFree:         2911108 kB
MemAvailable:   45232812 kB
Buffers:          783600 kB
Cached:         42120188 kB
SwapCached:      2145172 kB
Active:         28060536 kB
Inactive:       28393428 kB
Active(anon):   12265736 kB
Inactive(anon):  3845324 kB
Active(file):   15794800 kB
Inactive(file): 24548104 kB
Unevictable:      394840 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29572168 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2588 kB
Writeback:             0 kB
AnonPages:      13873048 kB
Mapped:          2858936 kB
Shmem:           2561628 kB
KReclaimable:    2698496 kB
Slab:            3521244 kB
SReclaimable:    2698496 kB
SUnreclaim:       822748 kB
KernelStack:       60164 kB
PageTables:       222996 kB
SecPageTables:      9268 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   79094728 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163164 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1150976 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10100736 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
