MemTotal:       63903732 kB
MemFree:         2394784 kB
MemAvailable:   44682484 kB
Buffers:          785300 kB
Cached:         42228284 kB
SwapCached:      2146928 kB
Active:         28521156 kB
Inactive:       28395824 kB
Active(anon):   12722540 kB
Inactive(anon):  3840484 kB
Active(file):   15798616 kB
Inactive(file): 24555340 kB
Unevictable:      438116 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29572364 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              5288 kB
Writeback:             0 kB
AnonPages:      14269856 kB
Mapped:          2905044 kB
Shmem:           2660376 kB
KReclaimable:    2698496 kB
Slab:            3521680 kB
SReclaimable:    2698496 kB
SUnreclaim:       823184 kB
KernelStack:       60632 kB
PageTables:       225308 kB
SecPageTables:      9292 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   79616952 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163596 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1177600 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10121216 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
