MemTotal:       63903732 kB
MemFree:         2244416 kB
MemAvailable:   44485888 kB
Buffers:          778056 kB
Cached:         42125772 kB
SwapCached:      2146204 kB
Active:         28696900 kB
Inactive:       28374304 kB
Active(anon):   12935472 kB
Inactive(anon):  3873068 kB
Active(file):   15761428 kB
Inactive(file): 24501236 kB
Unevictable:      415000 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29570504 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3048 kB
Writeback:            96 kB
AnonPages:      14509924 kB
Mapped:          2884540 kB
Shmem:           2641912 kB
KReclaimable:    2698504 kB
Slab:            3521160 kB
SReclaimable:    2698504 kB
SUnreclaim:       822656 kB
KernelStack:       59980 kB
PageTables:       223360 kB
SecPageTables:      9284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   78009828 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163036 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1157120 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10100736 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
