pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 245631
number of failed transactions: 0 (0.000%)
latency average = 0.041 ms
initial connection time = 6.498 ms
tps = 24578.818154 (without initial connection time)
===LOGS===
0 42 34 0 1788866881 269890
0 55 34 0 1788866881 270361
0 67 35 0 1788866881 270821
0 139 33 0 1788866881 273775
0 142 34 0 1788866881 273880
0 151 40 0 1788866881 274187
0 236 38 0 1788866881 280685
0 251 34 0 1788866881 281226
0 254 34 0 1788866881 281329
0 258 35 0 1788866881 281467
0 275 34 0 1788866881 282085
0 296 34 0 1788866881 282835
0 303 33 0 1788866881 283074
0 305 33 0 1788866881 283142
0 306 34 0 1788866881 283177
0 308 33 0 1788866881 283245
0 343 33 0 1788866881 284480
0 364 34 0 1788866881 285317
0 419 35 0 1788866881 287313
0 449 45 0 1788866881 288606
0 461 46 0 1788866881 289181
0 512 76 0 1788866881 291719
0 564 42 0 1788866881 293628
0 611 35 0 1788866881 295250
0 620 46 0 1788866881 295594
0 670 44 0 1788866881 297696
0 680 34 0 1788866881 298073
0 682 33 0 1788866881 298141
0 683 34 0 1788866881 298176
0 685 34 0 1788866881 298244
0 718 36 0 1788866881 299569
0 719 52 0 1788866881 299625
0 737 33 0 1788866881 300426
0 746 33 0 1788866881 300773
0 767 33 0 1788866881 301478
0 773 35 0 1788866881 301694
0 793 33 0 1788866881 302385
0 797 40 0 1788866881 302539
0 810 34 0 1788866881 303018
0 812 34 0 1788866881 303087
0 830 35 0 1788866881 303777
0 874 34 0 1788866881 305327
0 916 35 0 1788866881 306971
0 917 34 0 1788866881 307007
0 946 36 0 1788866881 308134
0 959 40 0 1788866881 308777
0 983 87 0 1788866881 309694
0 1008 33 0 1788866881 310774
0 1014 34 0 1788866881 310981
0 1029 36 0 1788866881 311517
0 1071 38 0 1788866881 313049
0 1083 37 0 1788866881 313485
0 1087 60 0 1788866881 313661
0 1098 38 0 1788866881 314091
0 1139 47 0 1788866881 315631
0 1175 33 0 1788866881 316881
0 1203 34 0 1788866881 317861
0 1210 33 0 1788866881 318097
0 1221 34 0 1788866881 318480
0 1246 33 0 1788866881 319335
0 1263 34 0 1788866881 320004
0 1269 34 0 1788866881 320241
0 1284 38 0 1788866881 320797
0 1297 40 0 1788866881 321259
0 1320 42 0 1788866881 322246
0 1343 47 0 1788866881 323258
0 1369 44 0 1788866881 324684
0 1429 34 0 1788866881 326775
0 1473 36 0 1788866881 328287
0 1479 34 0 1788866881 328492
0 1480 33 0 1788866881 328526
0 1509 35 0 1788866881 329600
0 1514 34 0 1788866881 329808
0 1576 34 0 1788866881 332081
0 1578 34 0 1788866881 332151
0 1594 35 0 1788866881 332753
0 1642 36 0 1788866881 334554
0 1667 35 0 1788866881 335507
0 1669 41 0 1788866881 335605
0 1693 35 0 1788866881 336489
0 1737 34 0 1788866881 338079
0 1745 35 0 1788866881 338368
0 1753 43 0 1788866881 338657
0 1774 34 0 1788866881 339406
0 1801 35 0 1788866881 340390
0 1821 38 0 1788866881 341145
0 1859 57 0 1788866881 343031
0 1860 47 0 1788866881 343082
0 1888 47 0 1788866881 344594
0 1906 41 0 1788866881 345424
0 1933 44 0 1788866881 346489
0 1935 38 0 1788866881 346577
0 1976 33 0 1788866881 348077
0 2010 42 0 1788866881 349389
0 2022 33 0 1788866881 349816
0 2042 33 0 1788866881 350504
0 2056 35 0 1788866881 351023
0 2061 67 0 1788866881 351260
0 2062 50 0 1788866881 351314
0 2081 45 0 1788866881 352235
0 2120 53 0 1788866881 354094
0 2132 57 0 1788866881 354659
0 2155 46 0 1788866881 355732
0 2178 46 0 1788866881 356822
0 2180 45 0 1788866881 356915
0 2217 40 0 1788866881 358557
0 2231 34 0 1788866881 359121
0 2245 57 0 1788866881 359645
0 2252 33 0 1788866881 359888
0 2258 33 0 1788866881 360096
0 2265 33 0 1788866881 360332
0 2269 33 0 1788866881 360467
0 2301 34 0 1788866881 361564
0 2312 33 0 1788866881 361953
0 2314 64 0 1788866881 362052
0 2348 35 0 1788866881 363349
0 2379 33 0 1788866881 364489
0 2398 34 0 1788866881 365136
0 2402 49 0 1788866881 365286
0 2458 34 0 1788866881 367297
0 2475 34 0 1788866881 367902
0 2512 90 0 1788866881 369356
0 2524 35 0 1788866881 369814
0 2587 34 0 1788866881 372280
0 2609 33 0 1788866881 373106
0 2625 57 0 1788866881 373666
0 2648 36 0 1788866881 374451
0 2654 40 0 1788866881 374713
0 2661 41 0 1788866881 375017
0 2663 58 0 1788866881 375123
0 2686 35 0 1788866881 376106
0 2694 62 0 1788866881 376661
0 2705 33 0 1788866881 377056
0 2718 34 0 1788866881 377541
0 2736 54 0 1788866881 378371
0 2749 37 0 1788866881 379138
0 2758 40 0 1788866881 379486
0 2792 34 0 1788866881 380691
0 2805 51 0 1788866881 381159
0 2828 33 0 1788866881 382102
0 2852 33 0 1788866881 382954
0 2863 33 0 1788866881 383336
0 2907 37 0 1788866881 385059
