MemTotal:       63903732 kB
MemFree:         2095236 kB
MemAvailable:   44254040 kB
Buffers:          796072 kB
Cached:         42079564 kB
SwapCached:      2151856 kB
Active:         28918768 kB
Inactive:       28277192 kB
Active(anon):   13115816 kB
Inactive(anon):  3834532 kB
Active(file):   15802952 kB
Inactive(file): 24442660 kB
Unevictable:      493764 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573280 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1892 kB
Writeback:           112 kB
AnonPages:      14741992 kB
Mapped:          2816072 kB
Shmem:           2630752 kB
KReclaimable:    2698424 kB
Slab:            3524764 kB
SReclaimable:    2698424 kB
SUnreclaim:       826340 kB
KernelStack:       60460 kB
PageTables:       225892 kB
SecPageTables:      9480 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   81023408 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163564 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1140736 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
