pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 32
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 610489
number of failed transactions: 0 (0.000%)
latency average = 0.521 ms
initial connection time = 76.998 ms
tps = 61473.689341 (without initial connection time)
===LOGS===
0 11 204 0 1788866654 168291
2 32 177 0 1788866654 172240
2 33 141 0 1788866654 172390
0 19 333 0 1788866654 172802
2 42 243 0 1788866654 174241
3 23 99 0 1788866654 176457
1 26 652 0 1788866654 176618
3 26 244 0 1788866654 177035
3 29 195 0 1788866654 177609
3 30 299 0 1788866654 177930
0 31 242 0 1788866654 179121
3 39 423 0 1788866654 180103
3 42 161 0 1788866654 180762
0 37 375 0 1788866654 181605
1 40 286 0 1788866654 183524
0 49 313 0 1788866654 186355
0 63 257 0 1788866654 192044
0 64 261 0 1788866654 192310
0 77 180 0 1788866654 195468
2 116 193 0 1788866654 197031
3 67 226 0 1788866654 197711
3 76 183 0 1788866654 199923
3 80 91 0 1788866654 201111
3 81 142 0 1788866654 201258
2 125 2172 0 1788866654 202696
1 76 389 0 1788866654 204860
3 106 241 0 1788866654 205813
0 98 1196 0 1788866654 206059
0 100 234 0 1788866654 210926
2 131 314 0 1788866654 211196
1 92 302 0 1788866654 211743
3 139 0 0 1788866654 215753
3 149 0 0 1788866654 218270
2 151 579 0 1788866654 225344
2 152 350 0 1788866654 225735
2 157 385 0 1788866654 227502
1 122 216 0 1788866654 229374
0 138 274 0 1788866654 230053
2 165 332 0 1788866654 230431
3 196 161 0 1788866654 232120
2 168 231 0 1788866654 232354
3 199 151 0 1788866654 232758
2 174 0 0 1788866654 233689
2 180 131 0 1788866654 234822
2 195 162 0 1788866654 237041
0 168 163 0 1788866654 238033
0 175 70 0 1788866654 239089
1 148 426 0 1788866654 239459
2 212 108 0 1788866654 240100
3 236 391 0 1788866654 243072
0 206 164 0 1788866654 243727
1 163 345 0 1788866654 244462
1 165 278 0 1788866654 245134
3 252 342 0 1788866654 247868
3 257 393 0 1788866654 253013
3 265 645 0 1788866654 256743
0 256 83 0 1788866654 262426
2 276 205 0 1788866654 262745
0 260 120 0 1788866654 263059
3 278 185 0 1788866654 263431
3 281 220 0 1788866654 264475
0 299 261 0 1788866654 270850
2 299 345 0 1788866654 271172
0 301 312 0 1788866654 271491
0 302 169 0 1788866654 271668
2 300 432 0 1788866654 271679
0 307 192 0 1788866654 279479
3 308 339 0 1788866654 281452
2 310 298 0 1788866654 282435
2 319 229 0 1788866654 285031
3 327 335 0 1788866654 288731
3 340 179 0 1788866654 293630
1 259 213 0 1788866654 294067
2 341 291 0 1788866654 294073
2 343 216 0 1788866654 294478
2 349 341 0 1788866654 296304
2 353 525 0 1788866654 299178
0 373 189 0 1788866654 300596
0 383 159 0 1788866654 303822
2 378 503 0 1788866654 306866
2 383 265 0 1788866654 309472
1 295 544 0 1788866654 313203
1 308 1345 0 1788866654 317659
0 445 174 0 1788866654 321721
0 491 210 0 1788866654 335113
1 330 434 0 1788866654 336306
2 438 350 0 1788866654 337876
0 507 213 0 1788866654 338712
3 430 451 0 1788866654 340583
0 518 158 0 1788866654 341089
2 447 365 0 1788866654 341474
3 441 1217 0 1788866654 347434
0 558 269 0 1788866654 350093
1 374 1156 0 1788866654 351327
0 564 179 0 1788866654 354030
0 578 237 0 1788866654 357395
0 601 222 0 1788866654 363437
3 469 408 0 1788866654 363883
0 605 223 0 1788866654 364447
3 471 456 0 1788866654 365025
1 417 354 0 1788866654 366372
0 623 341 0 1788866654 368776
1 434 285 0 1788866654 372120
0 638 183 0 1788866654 372389
2 510 531 0 1788866654 372536
0 640 315 0 1788866654 372853
1 452 112 0 1788866654 376740
2 522 391 0 1788866654 378743
2 526 356 0 1788866654 380701
3 498 469 0 1788866654 383317
2 535 331 0 1788866654 384387
0 690 233 0 1788866654 385211
0 694 192 0 1788866654 386871
2 542 226 0 1788866654 387140
3 505 436 0 1788866654 387890
0 721 544 0 1788866654 393504
0 731 233 0 1788866654 395417
0 749 141 0 1788866654 399315
2 572 362 0 1788866654 399440
3 528 1101 0 1788866654 402073
0 767 228 0 1788866654 402980
0 775 190 0 1788866654 404747
3 544 489 0 1788866654 409754
0 783 972 0 1788866654 410203
2 634 64 0 1788866654 410280
1 520 236 0 1788866654 411112
2 660 64 0 1788866654 413538
1 532 266 0 1788866654 414378
2 675 98 0 1788866654 415158
2 691 109 0 1788866654 417132
2 704 167 0 1788866654 419008
1 553 211 0 1788866654 420395
1 556 371 0 1788866654 421134
1 563 622 0 1788866654 423729
3 569 593 0 1788866654 424699
0 796 1193 0 1788866654 426416
0 804 422 0 1788866654 429047
0 817 71 0 1788866654 430424
1 589 356 0 1788866654 432090
1 593 192 0 1788866654 433358
0 886 91 0 1788866654 437961
1 608 315 0 1788866654 437969
0 888 70 0 1788866654 438127
1 618 8319 0 1788866654 449165
0 933 70 0 1788866654 450156
0 949 97 0 1788866654 452374
3 602 728 0 1788866654 452632
0 988 77 0 1788866654 458413
3 609 340 0 1788866654 458507
0 1000 74 0 1788866654 459455
3 612 594 0 1788866654 460095
0 1028 108 0 1788866654 462578
3 618 9449 0 1788866654 472325
1 646 170 0 1788866654 472521
0 1056 72 0 1788866654 475711
0 1078 102 0 1788866654 477834
0 1091 133 0 1788866654 479079
0 1093 207 0 1788866654 479526
2 843 428 0 1788866654 479927
3 635 662 0 1788866654 480075
3 644 2618 0 1788866654 485698
3 648 943 0 1788866654 494293
0 1150 122 0 1788866654 494541
0 1170 92 0 1788866654 497220
2 878 90 0 1788866654 508556
0 1200 363 0 1788866654 512843
2 912 166 0 1788866654 514318
1 671 1415 0 1788866654 518786
2 947 160 0 1788866654 519690
2 964 178 0 1788866654 522747
2 975 132 0 1788866654 524285
2 983 132 0 1788866654 525539
1 681 1031 0 1788866654 526483
2 994 482 0 1788866654 527891
0 1236 371 0 1788866654 527917
0 1240 351 0 1788866654 529021
2 1004 463 0 1788866654 531937
3 707 1152 0 1788866654 542398
1 701 379 0 1788866654 543883
0 1269 680 0 1788866654 545053
0 1275 528 0 1788866654 548587
1 714 416 0 1788866654 552981
2 1045 820 0 1788866654 556718
1 723 361 0 1788866654 558847
2 1048 1095 0 1788866654 559793
1 724 1568 0 1788866654 560420
0 1293 168 0 1788866654 562115
0 1296 1176 0 1788866654 564438
3 758 499 0 1788866654 574496
0 1313 536 0 1788866654 574685
2 1087 301 0 1788866654 585206
0 1331 643 0 1788866654 585382
0 1333 783 0 1788866654 587258
0 1337 675 0 1788866654 590257
3 788 619 0 1788866654 590375
1 776 406 0 1788866654 593101
0 1339 2022 0 1788866654 593276
0 1341 2363 0 1788866654 596330
0 1344 889 0 1788866654 598599
0 1370 646 0 1788866654 615379
1 807 714 0 1788866654 616202
3 820 502 0 1788866654 618435
3 822 968 0 1788866654 620144
1 812 994 0 1788866654 620340
0 1377 919 0 1788866654 620773
3 830 570 0 1788866654 624861
1 825 721 0 1788866654 630353
3 845 512 0 1788866654 632954
0 1396 768 0 1788866654 635022
1 849 459 0 1788866654 651515
0 1414 656 0 1788866654 652034
2 1183 618 0 1788866654 659394
2 1191 911 0 1788866654 665284
0 1435 714 0 1788866654 667719
1 878 614 0 1788866654 672810
3 894 464 0 1788866654 678345
3 895 450 0 1788866654 678800
2 1211 664 0 1788866654 679286
2 1218 726 0 1788866654 684357
3 918 126 0 1788866654 684704
3 941 99 0 1788866654 689550
3 943 104 0 1788866654 689882
3 958 134 0 1788866654 691712
3 983 142 0 1788866654 694837
0 1476 512 0 1788866654 699369
3 1016 239 0 1788866654 704541
3 1019 439 0 1788866654 705997
0 1488 707 0 1788866654 708577
3 1032 272 0 1788866654 710905
1 928 982 0 1788866654 712389
2 1256 651 0 1788866654 715432
0 1498 696 0 1788866654 716348
2 1259 601 0 1788866654 717516
0 1500 1186 0 1788866654 717830
3 1054 294 0 1788866654 717838
2 1267 683 0 1788866654 723491
3 1090 163 0 1788866654 726304
3 1091 133 0 1788866654 726442
0 1516 541 0 1788866654 728147
3 1100 271 0 1788866654 728856
0 1527 709 0 1788866654 736447
2 1305 1776 0 1788866654 736802
1 964 728 0 1788866654 737358
0 1537 1001 0 1788866654 744258
2 1317 1033 0 1788866654 744376
3 1136 666 0 1788866654 749128
3 1141 517 0 1788866654 751995
2 1328 818 0 1788866654 752588
3 1142 632 0 1788866654 752632
0 1551 705 0 1788866654 754781
3 1149 602 0 1788866654 757118
0 1558 454 0 1788866654 759517
3 1160 755 0 1788866654 763780
2 1343 369 0 1788866654 764873
0 1575 306 0 1788866654 776860
1 1020 1163 0 1788866654 776973
1 1021 1320 0 1788866654 778297
2 1348 1005 0 1788866654 779656
1 1034 814 0 1788866654 791308
0 1592 738 0 1788866654 792840
0 1594 703 0 1788866654 794448
2 1368 863 0 1788866654 797108
0 1603 837 0 1788866654 803098
2 1378 1162 0 1788866654 806840
2 1382 825 0 1788866654 809736
2 1385 819 0 1788866654 812012
0 1631 658 0 1788866654 837201
0 1635 2528 0 1788866654 841970
2 1419 1309 0 1788866654 853013
2 1429 649 0 1788866654 861024
2 1437 994 0 1788866654 866526
1 1123 1532 0 1788866654 879429
2 1453 900 0 1788866654 880935
