MemTotal:       63903732 kB
MemFree:         3116736 kB
MemAvailable:   45331724 kB
Buffers:          802564 kB
Cached:         41970432 kB
SwapCached:      2151952 kB
Active:         27990336 kB
Inactive:       28331372 kB
Active(anon):   12186144 kB
Inactive(anon):  3833780 kB
Active(file):   15804192 kB
Inactive(file): 24497592 kB
Unevictable:      333552 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573304 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               268 kB
Writeback:             0 kB
AnonPages:      13809700 kB
Mapped:          2823428 kB
Shmem:           2471956 kB
KReclaimable:    2698436 kB
Slab:            3526336 kB
SReclaimable:    2698436 kB
SUnreclaim:       827900 kB
KernelStack:       60636 kB
PageTables:       225816 kB
SecPageTables:      9280 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   81655444 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163772 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1081344 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
