MemTotal:       63903732 kB
MemFree:         3117616 kB
MemAvailable:   45327112 kB
Buffers:          802068 kB
Cached:         41965352 kB
SwapCached:      2151948 kB
Active:         27983292 kB
Inactive:       28325884 kB
Active(anon):   12179100 kB
Inactive(anon):  3833784 kB
Active(file):   15804192 kB
Inactive(file): 24492100 kB
Unevictable:      333480 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573304 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4276 kB
Writeback:             0 kB
AnonPages:      13802848 kB
Mapped:          2823376 kB
Shmem:           2471868 kB
KReclaimable:    2698436 kB
Slab:            3526160 kB
SReclaimable:    2698436 kB
SUnreclaim:       827724 kB
KernelStack:       60772 kB
PageTables:       226472 kB
SecPageTables:      9280 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   81654316 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163996 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1081344 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
