MemTotal:       63903732 kB
MemFree:         2757912 kB
MemAvailable:   45013708 kB
Buffers:          806600 kB
Cached:         41980068 kB
SwapCached:      2143352 kB
Active:         28347300 kB
Inactive:       28302544 kB
Active(anon):   12535956 kB
Inactive(anon):  3771344 kB
Active(file):   15811344 kB
Inactive(file): 24531200 kB
Unevictable:      322572 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29598248 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1616 kB
Writeback:            40 kB
AnonPages:      14118412 kB
Mapped:          2849008 kB
Shmem:           2444868 kB
KReclaimable:    2698484 kB
Slab:            3526888 kB
SReclaimable:    2698484 kB
SUnreclaim:       828404 kB
KernelStack:       60228 kB
PageTables:       221968 kB
SecPageTables:      9260 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   79104276 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163236 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1087488 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10231808 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
