MemTotal:       63903732 kB
MemFree:         2774560 kB
MemAvailable:   45018636 kB
Buffers:          809152 kB
Cached:         42002176 kB
SwapCached:      2143352 kB
Active:         28321508 kB
Inactive:       28290312 kB
Active(anon):   12509660 kB
Inactive(anon):  3771336 kB
Active(file):   15811848 kB
Inactive(file): 24518976 kB
Unevictable:      358904 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29598248 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               856 kB
Writeback:           144 kB
AnonPages:      14091780 kB
Mapped:          2825168 kB
Shmem:           2481212 kB
KReclaimable:    2698484 kB
Slab:            3527236 kB
SReclaimable:    2698484 kB
SUnreclaim:       828752 kB
KernelStack:       60060 kB
PageTables:       221344 kB
SecPageTables:      9312 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   79116956 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163284 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1095680 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10209280 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
