MemTotal:       63903732 kB
MemFree:         2996104 kB
MemAvailable:   45190052 kB
Buffers:          799920 kB
Cached:         42054160 kB
SwapCached:      2151944 kB
Active:         28032264 kB
Inactive:       28310456 kB
Active(anon):   12228180 kB
Inactive(anon):  3833784 kB
Active(file):   15804084 kB
Inactive(file): 24476672 kB
Unevictable:      440744 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573300 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               320 kB
Writeback:             0 kB
AnonPages:      13857420 kB
Mapped:          2846452 kB
Shmem:           2574064 kB
KReclaimable:    2698424 kB
Slab:            3526204 kB
SReclaimable:    2698424 kB
SUnreclaim:       827780 kB
KernelStack:       60208 kB
PageTables:       224756 kB
SecPageTables:      9360 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   80335820 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163308 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1144832 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
