MemTotal:       63903732 kB
MemFree:         2977380 kB
MemAvailable:   45169432 kB
Buffers:          799524 kB
Cached:         42049328 kB
SwapCached:      2151944 kB
Active:         28067948 kB
Inactive:       28308564 kB
Active(anon):   12263864 kB
Inactive(anon):  3833788 kB
Active(file):   15804084 kB
Inactive(file): 24474776 kB
Unevictable:      432144 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29573296 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              6368 kB
Writeback:             0 kB
AnonPages:      13887528 kB
Mapped:          2817092 kB
Shmem:           2570732 kB
KReclaimable:    2698424 kB
Slab:            3526132 kB
SReclaimable:    2698424 kB
SUnreclaim:       827708 kB
KernelStack:       60224 kB
PageTables:       223132 kB
SecPageTables:      9384 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   80108572 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163228 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1120256 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10186752 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
