MemTotal:       63903732 kB
MemFree:         6636780 kB
MemAvailable:   49208504 kB
Buffers:          835800 kB
Cached:         41868916 kB
SwapCached:      2133736 kB
Active:         21769752 kB
Inactive:       30241944 kB
Active(anon):    7676080 kB
Inactive(anon):  3776412 kB
Active(file):   14093672 kB
Inactive(file): 26465532 kB
Unevictable:     1155764 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29540512 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3676 kB
Writeback:             0 kB
AnonPages:      10393912 kB
Mapped:          2719384 kB
Shmem:           2146200 kB
KReclaimable:    2732216 kB
Slab:            3532856 kB
SReclaimable:    2732216 kB
SUnreclaim:       800640 kB
KernelStack:       55268 kB
PageTables:       176868 kB
SecPageTables:      9312 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   59912560 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      157008 kB
VmallocChunk:          0 kB
Percpu:            22240 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1148928 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8792064 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
