MemTotal:       63903732 kB
MemFree:         5613680 kB
MemAvailable:   48229804 kB
Buffers:          848432 kB
Cached:         41921512 kB
SwapCached:      2134100 kB
Active:         22573800 kB
Inactive:       30264980 kB
Active(anon):    8476408 kB
Inactive(anon):  3760064 kB
Active(file):   14097392 kB
Inactive(file): 26504916 kB
Unevictable:     1172612 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29540832 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2976 kB
Writeback:             0 kB
AnonPages:      11172868 kB
Mapped:          2708472 kB
Shmem:           2168324 kB
KReclaimable:    2733512 kB
Slab:            3535900 kB
SReclaimable:    2733512 kB
SUnreclaim:       802388 kB
KernelStack:       55964 kB
PageTables:       181260 kB
SecPageTables:      9320 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   62101944 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      157968 kB
VmallocChunk:          0 kB
Percpu:            22720 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1161216 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8814592 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
