pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 16
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 751262
number of failed transactions: 0 (0.000%)
latency average = 0.212 ms
initial connection time = 38.850 ms
tps = 75382.220636 (without initial connection time)
===LOGS===
1 15 91 0 1788863777 811320
1 17 101 0 1788863777 811543
0 16 217 0 1788863777 812107
0 20 104 0 1788863777 812826
0 37 187 0 1788863777 815681
1 59 131 0 1788863777 817688
0 70 102 0 1788863777 821663
0 74 109 0 1788863777 822046
0 85 94 0 1788863777 822967
1 114 71 0 1788863777 826065
1 118 166 0 1788863777 826645
0 132 69 0 1788863777 826918
1 124 141 0 1788863777 827417
0 164 69 0 1788863777 829753
1 140 140 0 1788863777 830129
0 183 84 0 1788863777 831347
0 236 67 0 1788863777 836239
0 239 67 0 1788863777 836499
0 241 105 0 1788863777 836690
0 280 67 0 1788863777 840206
0 294 95 0 1788863777 841368
0 301 89 0 1788863777 841982
0 306 70 0 1788863777 842400
0 307 86 0 1788863777 842492
1 234 127 0 1788863777 843066
1 236 167 0 1788863777 843341
0 328 83 0 1788863777 844438
1 244 144 0 1788863777 844513
1 269 137 0 1788863777 847866
1 288 155 0 1788863777 852987
0 439 95 0 1788863777 855925
0 454 0 0 1788863777 857293
1 313 494 0 1788863777 861406
0 487 96 0 1788863777 861507
1 321 3636 0 1788863777 886091
0 511 0 0 1788863777 887871
0 592 0 0 1788863777 906003
0 595 0 0 1788863777 906845
0 600 0 0 1788863777 907848
0 602 0 0 1788863777 908507
0 605 0 0 1788863777 909352
0 641 0 0 1788863777 915748
0 655 0 0 1788863777 916826
0 659 0 0 1788863777 917081
0 665 0 0 1788863777 917608
0 667 0 0 1788863777 917752
0 688 73 0 1788863777 919581
0 719 80 0 1788863777 922277
0 736 82 0 1788863777 923741
0 740 89 0 1788863777 924113
0 775 79 0 1788863777 927112
0 778 77 0 1788863777 927343
0 785 77 0 1788863777 927911
0 821 86 0 1788863777 931237
0 838 80 0 1788863777 932759
0 844 88 0 1788863777 933346
0 854 71 0 1788863777 934230
0 887 95 0 1788863777 940456
0 902 78 0 1788863777 941849
0 921 84 0 1788863777 943492
1 355 299 0 1788863777 945765
0 947 110 0 1788863777 946163
1 358 268 0 1788863777 946538
0 957 82 0 1788863777 947107
1 381 225 0 1788863777 953519
1 386 179 0 1788863777 954635
0 1032 90 0 1788863777 956410
1 392 377 0 1788863777 956571
0 1036 77 0 1788863777 956758
0 1050 70 0 1788863777 957920
1 400 255 0 1788863777 958502
0 1077 71 0 1788863777 960300
1 411 147 0 1788863777 960888
0 1102 83 0 1788863777 962588
0 1105 88 0 1788863777 962910
0 1127 79 0 1788863777 964798
0 1134 91 0 1788863777 965510
0 1135 94 0 1788863777 965611
0 1147 72 0 1788863777 966715
0 1148 89 0 1788863777 966810
1 466 81 0 1788863777 966816
0 1164 88 0 1788863777 968333
1 479 78 0 1788863777 968340
0 1183 125 0 1788863777 970256
0 1187 107 0 1788863777 970683
0 1189 102 0 1788863777 970911
0 1190 96 0 1788863777 971013
0 1192 98 0 1788863777 971231
1 505 105 0 1788863777 971253
0 1212 86 0 1788863777 973056
1 525 81 0 1788863777 973237
1 527 95 0 1788863777 973447
1 543 105 0 1788863777 975151
0 1241 70 0 1788863777 975810
1 552 88 0 1788863777 976360
0 1271 100 0 1788863777 978603
1 573 100 0 1788863777 978997
0 1300 179 0 1788863777 982364
0 1304 73 0 1788863777 982791
0 1315 83 0 1788863777 983876
1 618 76 0 1788863777 984230
0 1320 84 0 1788863777 984317
1 621 142 0 1788863777 984569
1 632 80 0 1788863777 985951
1 638 146 0 1788863777 986851
1 649 126 0 1788863777 988525
1 662 100 0 1788863777 990239
0 1365 96 0 1788863777 990512
1 664 121 0 1788863777 990551
1 665 165 0 1788863777 990719
1 668 209 0 1788863777 991237
1 671 94 0 1788863777 991829
0 1380 0 0 1788863777 992204
1 674 111 0 1788863777 992228
1 681 84 0 1788863777 992992
0 1400 114 0 1788863777 994099
1 694 72 0 1788863777 994369
1 698 94 0 1788863777 994803
0 1418 67 0 1788863777 995768
