MemTotal:       63903732 kB
MemFree:         4429128 kB
MemAvailable:   46479500 kB
Buffers:          849432 kB
Cached:         42279852 kB
SwapCached:      2135696 kB
Active:         23203320 kB
Inactive:       30259548 kB
Active(anon):    9099856 kB
Inactive(anon):  3748180 kB
Active(file):   14103464 kB
Inactive(file): 26511368 kB
Unevictable:     1481752 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29542780 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3680 kB
Writeback:             8 kB
AnonPages:      11746864 kB
Mapped:          2803568 kB
Shmem:           2515140 kB
KReclaimable:    2733540 kB
Slab:            3536944 kB
SReclaimable:    2733540 kB
SUnreclaim:       803404 kB
KernelStack:       55952 kB
PageTables:       182424 kB
SecPageTables:      9764 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   62838608 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      157784 kB
VmallocChunk:          0 kB
Percpu:            22752 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1228800 kB
ShmemPmdMapped:        0 kB
FileHugePages:   8814592 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
