MemTotal:       63903732 kB
MemFree:         2982560 kB
MemAvailable:   45994248 kB
Buffers:         1057472 kB
Cached:         42486348 kB
SwapCached:      2138324 kB
Active:         24971356 kB
Inactive:       30537780 kB
Active(anon):   10803416 kB
Inactive(anon):  3709876 kB
Active(file):   14167940 kB
Inactive(file): 26827904 kB
Unevictable:     1247608 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29545472 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4732 kB
Writeback:             0 kB
AnonPages:      13144296 kB
Mapped:          2862068 kB
Shmem:           2548676 kB
KReclaimable:    2747828 kB
Slab:            3565700 kB
SReclaimable:    2747828 kB
SUnreclaim:       817872 kB
KernelStack:       59196 kB
PageTables:       212736 kB
SecPageTables:      9468 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   75034080 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161096 kB
VmallocChunk:          0 kB
Percpu:            25216 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1150976 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9039872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
