MemTotal:       63903732 kB
MemFree:         3490404 kB
MemAvailable:   46543008 kB
Buffers:         1062268 kB
Cached:         42332648 kB
SwapCached:      2131968 kB
Active:         24544456 kB
Inactive:       30572460 kB
Active(anon):   10374980 kB
Inactive(anon):  3705132 kB
Active(file):   14169476 kB
Inactive(file): 26867328 kB
Unevictable:     1144028 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29553732 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1492 kB
Writeback:             0 kB
AnonPages:      12796980 kB
Mapped:          2775228 kB
Shmem:           2358836 kB
KReclaimable:    2747784 kB
Slab:            3567636 kB
SReclaimable:    2747784 kB
SUnreclaim:       819852 kB
KernelStack:       58648 kB
PageTables:       207120 kB
SecPageTables:      9376 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   73095492 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      160512 kB
VmallocChunk:          0 kB
Percpu:            25792 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1081344 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9062400 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
