MemTotal:       63903732 kB
MemFree:         2746104 kB
MemAvailable:   45751552 kB
Buffers:         1056336 kB
Cached:         42509424 kB
SwapCached:      2138316 kB
Active:         25199044 kB
Inactive:       30532880 kB
Active(anon):   11031232 kB
Inactive(anon):  3711088 kB
Active(file):   14167812 kB
Inactive(file): 26821792 kB
Unevictable:     1251372 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29545460 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2280 kB
Writeback:             0 kB
AnonPages:      13348664 kB
Mapped:          2896012 kB
Shmem:           2576884 kB
KReclaimable:    2747828 kB
Slab:            3565440 kB
SReclaimable:    2747828 kB
SUnreclaim:       817612 kB
KernelStack:       59244 kB
PageTables:       214336 kB
SecPageTables:      9424 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   75350256 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161176 kB
VmallocChunk:          0 kB
Percpu:            25120 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1173504 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9039872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
