MemTotal:       63903732 kB
MemFree:         2108880 kB
MemAvailable:   40772604 kB
Buffers:          994716 kB
Cached:         38530060 kB
SwapCached:      5946468 kB
Active:         19495148 kB
Inactive:       38147292 kB
Active(anon):   17207140 kB
Inactive(anon):  3216408 kB
Active(file):    2288008 kB
Inactive(file): 34930884 kB
Unevictable:      454932 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21515300 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2568 kB
Writeback:             0 kB
AnonPages:      18517508 kB
Mapped:          2465660 kB
Shmem:           2306704 kB
KReclaimable:    2180912 kB
Slab:            3019500 kB
SReclaimable:    2180912 kB
SUnreclaim:       838588 kB
KernelStack:       63804 kB
PageTables:       262288 kB
SecPageTables:     10784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87884456 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168996 kB
VmallocChunk:          0 kB
Percpu:            27776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   448512 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9498624 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
