pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 829332
number of failed transactions: 0 (0.000%)
latency average = 0.096 ms
initial connection time = 20.686 ms
tps = 83076.107520 (without initial connection time)
===LOGS===
0 11 200 0 1788984556 432411
0 60 69 0 1788984556 437771
0 66 67 0 1788984556 438316
0 82 75 0 1788984556 439693
0 93 106 0 1788984556 440741
0 107 105 0 1788984556 442263
0 152 101 0 1788984556 446905
0 167 100 0 1788984556 448363
0 199 104 0 1788984556 451320
0 251 71 0 1788984556 456154
0 260 98 0 1788984556 456969
0 272 98 0 1788984556 458044
0 311 71 0 1788984556 461332
0 326 90 0 1788984556 462535
0 338 86 0 1788984556 463623
0 358 101 0 1788984556 465438
0 414 70 0 1788984556 470700
0 425 76 0 1788984556 471767
0 429 91 0 1788984556 472135
0 464 106 0 1788984556 475739
0 500 77 0 1788984556 479226
0 502 98 0 1788984556 479425
0 513 110 0 1788984556 480465
0 528 104 0 1788984556 481916
0 530 98 0 1788984556 482100
0 538 97 0 1788984556 482811
0 542 87 0 1788984556 483163
0 573 66 0 1788984556 486095
0 644 89 0 1788984556 492924
0 645 66 0 1788984556 492994
0 667 96 0 1788984556 494865
0 697 109 0 1788984556 497597
0 702 86 0 1788984556 498075
0 710 91 0 1788984556 498733
0 765 71 0 1788984556 503461
0 775 71 0 1788984556 504179
0 782 73 0 1788984556 504690
0 799 68 0 1788984556 505868
0 852 69 0 1788984556 509930
0 930 69 0 1788984556 516362
0 940 76 0 1788984556 517093
0 955 78 0 1788984556 518803
0 992 64 0 1788984556 521548
0 997 71 0 1788984556 521906
0 1056 71 0 1788984556 526103
0 1062 69 0 1788984556 526545
0 1074 71 0 1788984556 527529
0 1079 71 0 1788984556 527898
0 1090 72 0 1788984556 528690
0 1099 72 0 1788984556 529331
0 1103 77 0 1788984556 529648
0 1105 82 0 1788984556 529808
