MemTotal:       63903732 kB
MemFree:         2368648 kB
MemAvailable:   40881344 kB
Buffers:         1011064 kB
Cached:         38657044 kB
SwapCached:      5800788 kB
Active:         19140176 kB
Inactive:       38292244 kB
Active(anon):   16841068 kB
Inactive(anon):  3179752 kB
Active(file):    2299108 kB
Inactive(file): 35112492 kB
Unevictable:      402672 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21769456 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1520 kB
Writeback:             0 kB
AnonPages:      18109312 kB
Mapped:          2479684 kB
Shmem:           2257332 kB
KReclaimable:    2181240 kB
Slab:            3021544 kB
SReclaimable:    2181240 kB
SUnreclaim:       840304 kB
KernelStack:       63832 kB
PageTables:       260900 kB
SecPageTables:     10800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87860744 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168916 kB
VmallocChunk:          0 kB
Percpu:            28832 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   446464 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9525248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
