MemTotal:       63903732 kB
MemFree:         2779412 kB
MemAvailable:   41208288 kB
Buffers:         1007524 kB
Cached:         38555020 kB
SwapCached:      5734228 kB
Active:         18834200 kB
Inactive:       38211564 kB
Active(anon):   16538120 kB
Inactive(anon):  3179768 kB
Active(file):    2296080 kB
Inactive(file): 35031796 kB
Unevictable:      382000 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21769056 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               448 kB
Writeback:             0 kB
AnonPages:      17806684 kB
Mapped:          2454456 kB
Shmem:           2235484 kB
KReclaimable:    2181144 kB
Slab:            3020728 kB
SReclaimable:    2181144 kB
SUnreclaim:       839584 kB
KernelStack:       63660 kB
PageTables:       259192 kB
SecPageTables:     10836 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   88109080 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168876 kB
VmallocChunk:          0 kB
Percpu:            28544 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   403456 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9525248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
