MemTotal:       63903732 kB
MemFree:         2319836 kB
MemAvailable:   40721752 kB
Buffers:         1036488 kB
Cached:         38879800 kB
SwapCached:      6389456 kB
Active:         19671820 kB
Inactive:       37563880 kB
Active(anon):   16925884 kB
Inactive(anon):  2793480 kB
Active(file):    2745936 kB
Inactive(file): 34770400 kB
Unevictable:      562828 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21739556 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3412 kB
Writeback:            36 kB
AnonPages:      17788512 kB
Mapped:          2541292 kB
Shmem:           2400764 kB
KReclaimable:    2183580 kB
Slab:            3029952 kB
SReclaimable:    2183580 kB
SUnreclaim:       846372 kB
KernelStack:       63912 kB
PageTables:       255464 kB
SecPageTables:     11308 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   88702044 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169004 kB
VmallocChunk:          0 kB
Percpu:            30464 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:   335872 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9781248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
