MemTotal:       63903732 kB
MemFree:         2818352 kB
MemAvailable:   41231596 kB
Buffers:         1037768 kB
Cached:         38665432 kB
SwapCached:      6389868 kB
Active:         19395520 kB
Inactive:       37574196 kB
Active(anon):   16648916 kB
Inactive(anon):  2793136 kB
Active(file):    2746604 kB
Inactive(file): 34781060 kB
Unevictable:      401296 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21740408 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               924 kB
Writeback:             0 kB
AnonPages:      17574336 kB
Mapped:          2501584 kB
Shmem:           2176352 kB
KReclaimable:    2183580 kB
Slab:            3030020 kB
SReclaimable:    2183580 kB
SUnreclaim:       846440 kB
KernelStack:       63528 kB
PageTables:       254068 kB
SecPageTables:     11012 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87494872 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168852 kB
VmallocChunk:          0 kB
Percpu:            30464 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:   333824 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9781248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
