MemTotal:       63903732 kB
MemFree:         2796912 kB
MemAvailable:   41207220 kB
Buffers:         1037092 kB
Cached:         38684328 kB
SwapCached:      6389884 kB
Active:         19400956 kB
Inactive:       37571348 kB
Active(anon):   16654440 kB
Inactive(anon):  2793136 kB
Active(file):    2746516 kB
Inactive(file): 34778212 kB
Unevictable:      419424 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21740392 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3328 kB
Writeback:             0 kB
AnonPages:      17576240 kB
Mapped:          2500956 kB
Shmem:           2197504 kB
KReclaimable:    2183580 kB
Slab:            3029892 kB
SReclaimable:    2183580 kB
SUnreclaim:       846312 kB
KernelStack:       63496 kB
PageTables:       253368 kB
SecPageTables:     11084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87507800 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168804 kB
VmallocChunk:          0 kB
Percpu:            30464 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:   325632 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9781248 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
