MemTotal:       63903732 kB
MemFree:         1130112 kB
MemAvailable:   40134128 kB
Buffers:         1013764 kB
Cached:         38933600 kB
SwapCached:      6091656 kB
Active:         18573600 kB
Inactive:       39757100 kB
Active(anon):   16415208 kB
Inactive(anon):  4371152 kB
Active(file):    2158392 kB
Inactive(file): 35385948 kB
Unevictable:      757544 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21974432 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2748 kB
Writeback:             0 kB
AnonPages:      19084036 kB
Mapped:          2521024 kB
Shmem:           2403848 kB
KReclaimable:    2179372 kB
Slab:            3017140 kB
SReclaimable:    2179372 kB
SUnreclaim:       837768 kB
KernelStack:       64288 kB
PageTables:       262480 kB
SecPageTables:     11132 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   88313684 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169148 kB
VmallocChunk:          0 kB
Percpu:            27776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   479232 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9498624 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
