MemTotal:       63903732 kB
MemFree:         3183596 kB
MemAvailable:   42083628 kB
Buffers:         1019564 kB
Cached:         38570364 kB
SwapCached:      5803536 kB
Active:         18989944 kB
Inactive:       37669236 kB
Active(anon):   16407396 kB
Inactive(anon):  2813500 kB
Active(file):    2582548 kB
Inactive(file): 34855736 kB
Unevictable:      348564 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21672456 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2108 kB
Writeback:             0 kB
AnonPages:      17358300 kB
Mapped:          2485960 kB
Shmem:           2152460 kB
KReclaimable:    2181444 kB
Slab:            3024420 kB
SReclaimable:    2181444 kB
SUnreclaim:       842976 kB
KernelStack:       63596 kB
PageTables:       253596 kB
SecPageTables:     10860 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87324956 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168900 kB
VmallocChunk:          0 kB
Percpu:            29792 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   368640 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9613312 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
