pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 4
number of threads: 4
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 539659
number of failed transactions: 0 (0.000%)
latency average = 0.074 ms
initial connection time = 13.436 ms
tps = 54037.315716 (without initial connection time)
===LOGS===
0 35 161 0 1788985120 867712
0 48 63 0 1788985120 868886
0 83 51 0 1788985120 872043
0 88 74 0 1788985120 872397
0 120 60 0 1788985120 876001
0 122 60 0 1788985120 876136
0 132 91 0 1788985120 876954
0 158 69 0 1788985120 878952
0 184 59 0 1788985120 880699
0 249 73 0 1788985120 884524
0 290 67 0 1788985120 886925
0 326 47 0 1788985120 889261
0 360 64 0 1788985120 891416
0 404 72 0 1788985120 894434
0 412 63 0 1788985120 894992
0 436 56 0 1788985120 896960
0 465 60 0 1788985120 898858
0 481 53 0 1788985120 899841
0 485 49 0 1788985120 900055
0 495 55 0 1788985120 900567
0 498 49 0 1788985120 900738
0 511 70 0 1788985120 901494
0 526 54 0 1788985120 902453
0 537 61 0 1788985120 903128
0 604 52 0 1788985120 906976
0 668 57 0 1788985120 910887
0 700 65 0 1788985120 913086
0 724 61 0 1788985120 914420
0 728 78 0 1788985120 914718
0 766 35 0 1788985120 916904
0 786 48 0 1788985120 917866
0 800 43 0 1788985120 918584
0 812 55 0 1788985120 919276
0 823 52 0 1788985120 919822
0 831 51 0 1788985120 920255
0 846 61 0 1788985120 921187
0 849 70 0 1788985120 921376
0 857 112 0 1788985120 921957
0 870 54 0 1788985120 922876
0 902 63 0 1788985120 924924
0 909 87 0 1788985120 925436
0 912 54 0 1788985120 925603
0 915 66 0 1788985120 925798
0 917 63 0 1788985120 925931
0 947 69 0 1788985120 927911
0 961 49 0 1788985120 928705
0 968 52 0 1788985120 929065
0 969 90 0 1788985120 929158
0 1014 77 0 1788985120 931720
0 1038 66 0 1788985120 933233
0 1057 61 0 1788985120 934291
0 1110 63 0 1788985120 937134
0 1121 0 0 1788985120 937714
0 1180 42 0 1788985120 940282
0 1181 41 0 1788985120 940326
0 1195 45 0 1788985120 940970
0 1202 47 0 1788985120 941293
0 1209 41 0 1788985120 941598
0 1235 55 0 1788985120 943551
0 1254 66 0 1788985120 944667
0 1294 63 0 1788985120 947003
0 1361 62 0 1788985120 951533
0 1369 50 0 1788985120 951994
0 1391 67 0 1788985120 953552
0 1398 45 0 1788985120 953975
0 1405 84 0 1788985120 954451
0 1438 73 0 1788985120 956781
0 1473 83 0 1788985120 959441
0 1485 57 0 1788985120 960468
0 1529 59 0 1788985120 963150
0 1545 73 0 1788985120 964152
0 1569 54 0 1788985120 965835
0 1570 45 0 1788985120 965882
0 1574 46 0 1788985120 966071
0 1590 54 0 1788985120 966841
0 1607 52 0 1788985120 967879
0 1613 60 0 1788985120 968212
0 1690 51 0 1788985120 972733
0 1706 51 0 1788985120 973598
0 1719 61 0 1788985120 974318
0 1746 71 0 1788985120 976073
0 1747 66 0 1788985120 976142
0 1773 45 0 1788985120 977558
0 1812 62 0 1788985120 980691
0 1814 51 0 1788985120 980799
0 1884 77 0 1788985120 984729
0 1891 68 0 1788985120 985227
0 1901 75 0 1788985120 985907
0 1908 86 0 1788985120 986439
0 1933 58 0 1788985120 988222
0 1950 81 0 1788985120 989567
0 1959 89 0 1788985120 990341
0 1967 52 0 1788985120 990848
0 1995 57 0 1788985120 992473
0 2015 82 0 1788985120 994091
0 2048 43 0 1788985120 995792
0 2073 55 0 1788985120 997092
0 2105 62 0 1788985120 999218
0 2150 48 0 1788985121 1816
0 2191 76 0 1788985121 4624
0 2226 75 0 1788985121 6976
0 2237 73 0 1788985121 7783
0 2250 64 0 1788985121 8747
0 2270 77 0 1788985121 10302
0 2291 60 0 1788985121 11837
0 2333 43 0 1788985121 14293
0 2343 43 0 1788985121 14760
0 2350 42 0 1788985121 15059
0 2366 57 0 1788985121 15917
0 2370 53 0 1788985121 16139
0 2387 51 0 1788985121 17061
0 2401 49 0 1788985121 17802
0 2405 47 0 1788985121 17997
0 2421 84 0 1788985121 18902
0 2444 68 0 1788985121 20409
0 2486 71 0 1788985121 23258
0 2491 74 0 1788985121 23730
0 2497 58 0 1788985121 24132
0 2515 55 0 1788985121 25159
0 2525 88 0 1788985121 25816
0 2531 58 0 1788985121 26187
0 2546 0 0 1788985121 28427
0 2554 53 0 1788985121 29009
0 2557 68 0 1788985121 29217
0 2604 58 0 1788985121 32344
0 2628 69 0 1788985121 34167
0 2641 76 0 1788985121 35003
0 2667 80 0 1788985121 36877
0 2686 67 0 1788985121 38090
0 2688 54 0 1788985121 38204
0 2721 65 0 1788985121 40132
0 2745 61 0 1788985121 41643
0 2766 44 0 1788985121 42799
0 2817 81 0 1788985121 45663
0 2863 41 0 1788985121 48589
0 2865 51 0 1788985121 48691
0 2886 52 0 1788985121 49761
0 2892 61 0 1788985121 50186
0 2924 57 0 1788985121 52086
0 2954 178 0 1788985121 53743
0 2962 85 0 1788985121 54433
0 2970 59 0 1788985121 55000
0 2978 53 0 1788985121 55443
0 2997 54 0 1788985121 56479
0 3011 61 0 1788985121 57274
0 3016 73 0 1788985121 57581
0 3017 73 0 1788985121 57657
0 3074 102 0 1788985121 61917
0 3144 52 0 1788985121 66077
0 3195 62 0 1788985121 68939
0 3287 50 0 1788985121 74042
0 3309 47 0 1788985121 75092
0 3323 60 0 1788985121 75950
0 3363 43 0 1788985121 78134
0 3373 45 0 1788985121 78601
0 3389 73 0 1788985121 79480
0 3390 61 0 1788985121 79543
0 3442 45 0 1788985121 82404
0 3477 59 0 1788985121 84289
0 3482 64 0 1788985121 84620
0 3507 48 0 1788985121 85962
0 3512 49 0 1788985121 86202
0 3534 71 0 1788985121 87638
0 3571 62 0 1788985121 90139
0 3588 62 0 1788985121 91262
0 3614 56 0 1788985121 93072
0 3615 58 0 1788985121 93132
0 3648 75 0 1788985121 95381
0 3667 86 0 1788985121 96664
0 3673 57 0 1788985121 97078
0 3675 55 0 1788985121 97197
0 3684 61 0 1788985121 97852
0 3698 79 0 1788985121 98802
0 3705 73 0 1788985121 99345
0 3706 0 0 1788985121 99409
0 3714 70 0 1788985121 100007
0 3715 66 0 1788985121 100078
0 3725 74 0 1788985121 101015
0 3749 64 0 1788985121 102920
0 3811 70 0 1788985121 109023
0 3849 62 0 1788985121 111684
0 3870 67 0 1788985121 113167
0 3929 65 0 1788985121 117029
0 3967 45 0 1788985121 119001
0 3994 68 0 1788985121 120733
0 3999 72 0 1788985121 121084
0 4001 67 0 1788985121 121228
0 4015 50 0 1788985121 122207
0 4060 52 0 1788985121 125379
0 4081 58 0 1788985121 126911
0 4094 82 0 1788985121 127797
0 4113 45 0 1788985121 128925
0 4127 72 0 1788985121 129758
0 4130 82 0 1788985121 130002
0 4143 76 0 1788985121 131071
0 4157 56 0 1788985121 131923
0 4169 59 0 1788985121 132696
0 4173 58 0 1788985121 132947
0 4284 46 0 1788985121 139268
0 4323 84 0 1788985121 142471
