MemTotal:       63903732 kB
MemFree:         3444876 kB
MemAvailable:   42452708 kB
Buffers:         1032436 kB
Cached:         38735284 kB
SwapCached:      5816632 kB
Active:         18524452 kB
Inactive:       37758216 kB
Active(anon):   15916512 kB
Inactive(anon):  2820536 kB
Active(file):    2607940 kB
Inactive(file): 34937680 kB
Unevictable:      454644 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21692812 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               988 kB
Writeback:             0 kB
AnonPages:      16907492 kB
Mapped:          2459320 kB
Shmem:           2222916 kB
KReclaimable:    2181908 kB
Slab:            3026468 kB
SReclaimable:    2181908 kB
SUnreclaim:       844560 kB
KernelStack:       63696 kB
PageTables:       254788 kB
SecPageTables:     10932 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87697208 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168924 kB
VmallocChunk:          0 kB
Percpu:            30272 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   460800 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9613312 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
