MemTotal:       63903732 kB
MemFree:         3484012 kB
MemAvailable:   42494360 kB
Buffers:         1032968 kB
Cached:         38707876 kB
SwapCached:      5816664 kB
Active:         18521592 kB
Inactive:       37760636 kB
Active(anon):   15913656 kB
Inactive(anon):  2820436 kB
Active(file):    2607936 kB
Inactive(file): 34940200 kB
Unevictable:      425272 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21692824 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1516 kB
Writeback:             0 kB
AnonPages:      16905068 kB
Mapped:          2459224 kB
Shmem:           2193520 kB
KReclaimable:    2181908 kB
Slab:            3026468 kB
SReclaimable:    2181908 kB
SUnreclaim:       844560 kB
KernelStack:       63644 kB
PageTables:       254108 kB
SecPageTables:     10928 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87662388 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      169084 kB
VmallocChunk:          0 kB
Percpu:            30272 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   432128 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9613312 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
