MemTotal:       63903732 kB
MemFree:         3529732 kB
MemAvailable:   42435388 kB
Buffers:         1023648 kB
Cached:         38570620 kB
SwapCached:      5809184 kB
Active:         18641780 kB
Inactive:       37680864 kB
Active(anon):   16056280 kB
Inactive(anon):  2822744 kB
Active(file):    2585500 kB
Inactive(file): 34858120 kB
Unevictable:      343856 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       21690080 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2548 kB
Writeback:             0 kB
AnonPages:      17012264 kB
Mapped:          2469476 kB
Shmem:           2151460 kB
KReclaimable:    2181732 kB
Slab:            3025312 kB
SReclaimable:    2181732 kB
SUnreclaim:       843580 kB
KernelStack:       63600 kB
PageTables:       253552 kB
SecPageTables:     10860 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   87431312 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      168780 kB
VmallocChunk:          0 kB
Percpu:            29888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   387072 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9613312 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
