MemTotal:       63903732 kB
MemFree:         3003104 kB
MemAvailable:   40247096 kB
Buffers:          546124 kB
Cached:         37439324 kB
SwapCached:      6170692 kB
Active:         28769100 kB
Inactive:       27986848 kB
Active(anon):   12815196 kB
Inactive(anon):  8160368 kB
Active(file):   15953904 kB
Inactive(file): 19826480 kB
Unevictable:      433568 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20223616 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2432 kB
Writeback:             0 kB
AnonPages:      19139732 kB
Mapped:          2431728 kB
Shmem:           2205924 kB
KReclaimable:    2183304 kB
Slab:            3011324 kB
SReclaimable:    2183304 kB
SUnreclaim:       828020 kB
KernelStack:       66724 kB
PageTables:       292224 kB
SecPageTables:     10508 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96940564 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172132 kB
VmallocChunk:          0 kB
Percpu:            23456 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   409600 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9596928 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
