MemTotal:       63903732 kB
MemFree:         4496616 kB
MemAvailable:   41838720 kB
Buffers:          557276 kB
Cached:         37410100 kB
SwapCached:      6143976 kB
Active:         28072364 kB
Inactive:       27203924 kB
Active(anon):   12109508 kB
Inactive(anon):  7290204 kB
Active(file):   15962856 kB
Inactive(file): 19913720 kB
Unevictable:      418292 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20263116 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2648 kB
Writeback:             8 kB
AnonPages:      17660516 kB
Mapped:          2432868 kB
Shmem:           2091648 kB
KReclaimable:    2185224 kB
Slab:            3014828 kB
SReclaimable:    2185224 kB
SUnreclaim:       829604 kB
KernelStack:       65764 kB
PageTables:       278956 kB
SecPageTables:     10496 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   92280720 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171140 kB
VmallocChunk:          0 kB
Percpu:            24032 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   389120 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
