MemTotal:       63903732 kB
MemFree:         4461440 kB
MemAvailable:   41796976 kB
Buffers:          556712 kB
Cached:         37455648 kB
SwapCached:      6143976 kB
Active:         28068956 kB
Inactive:       27197804 kB
Active(anon):   12106284 kB
Inactive(anon):  7290296 kB
Active(file):   15962672 kB
Inactive(file): 19907508 kB
Unevictable:      470708 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20263092 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2512 kB
Writeback:             0 kB
AnonPages:      17659020 kB
Mapped:          2431868 kB
Shmem:           2143024 kB
KReclaimable:    2185052 kB
Slab:            3014280 kB
SReclaimable:    2185052 kB
SUnreclaim:       829228 kB
KernelStack:       65564 kB
PageTables:       278836 kB
SecPageTables:     10496 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   92255748 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      170804 kB
VmallocChunk:          0 kB
Percpu:            23968 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   440320 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
