MemTotal:       63903732 kB
MemFree:         3462796 kB
MemAvailable:   40854344 kB
Buffers:          564256 kB
Cached:         37627392 kB
SwapCached:      6295628 kB
Active:         28991544 kB
Inactive:       27248992 kB
Active(anon):   13021332 kB
Inactive(anon):  7294300 kB
Active(file):   15970212 kB
Inactive(file): 19954692 kB
Unevictable:      463688 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20320936 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               980 kB
Writeback:             0 kB
AnonPages:      18437820 kB
Mapped:          2524284 kB
Shmem:           2267596 kB
KReclaimable:    2186340 kB
Slab:            3016404 kB
SReclaimable:    2186340 kB
SUnreclaim:       830064 kB
KernelStack:       66524 kB
PageTables:       284652 kB
SecPageTables:     10512 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94487616 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171812 kB
VmallocChunk:          0 kB
Percpu:            24512 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   434176 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
