MemTotal:       63903732 kB
MemFree:         4469076 kB
MemAvailable:   41811372 kB
Buffers:          557340 kB
Cached:         37420536 kB
SwapCached:      6143976 kB
Active:         28087740 kB
Inactive:       27203812 kB
Active(anon):   12124888 kB
Inactive(anon):  7289900 kB
Active(file):   15962852 kB
Inactive(file): 19913912 kB
Unevictable:      428540 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20263116 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3280 kB
Writeback:             0 kB
AnonPages:      17675616 kB
Mapped:          2432968 kB
Shmem:           2101956 kB
KReclaimable:    2185228 kB
Slab:            3014784 kB
SReclaimable:    2185228 kB
SUnreclaim:       829556 kB
KernelStack:       65864 kB
PageTables:       279272 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   92293256 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171076 kB
VmallocChunk:          0 kB
Percpu:            24032 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   399360 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9623552 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
