MemTotal:       63903732 kB
MemFree:         3279040 kB
MemAvailable:   40695460 kB
Buffers:          915680 kB
Cached:         37832036 kB
SwapCached:      6271604 kB
Active:         29802796 kB
Inactive:       26542564 kB
Active(anon):   12915968 kB
Inactive(anon):  6920688 kB
Active(file):   16886828 kB
Inactive(file): 19621876 kB
Unevictable:      533540 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20277780 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               752 kB
Writeback:             0 kB
AnonPages:      18056160 kB
Mapped:          2540968 kB
Shmem:           2239868 kB
KReclaimable:    2205716 kB
Slab:            3042572 kB
SReclaimable:    2205716 kB
SUnreclaim:       836856 kB
KernelStack:       66836 kB
PageTables:       287740 kB
SecPageTables:     10800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96215264 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172316 kB
VmallocChunk:          0 kB
Percpu:            25728 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:   309248 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9807872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
