MemTotal:       63903732 kB
MemFree:         3876660 kB
MemAvailable:   40563480 kB
Buffers:          527292 kB
Cached:         36867968 kB
SwapCached:      6169920 kB
Active:         28493496 kB
Inactive:       27457764 kB
Active(anon):   12545320 kB
Inactive(anon):  8164680 kB
Active(file):   15948176 kB
Inactive(file): 19293084 kB
Unevictable:      357248 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20223440 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1612 kB
Writeback:             0 kB
AnonPages:      18848904 kB
Mapped:          2451784 kB
Shmem:           2154860 kB
KReclaimable:    2165256 kB
Slab:            2991100 kB
SReclaimable:    2165256 kB
SUnreclaim:       825844 kB
KernelStack:       67552 kB
PageTables:       294144 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   98085776 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172892 kB
VmallocChunk:          0 kB
Percpu:            22912 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   346112 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9574400 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
