MemTotal:       63903732 kB
MemFree:         3539788 kB
MemAvailable:   40907928 kB
Buffers:          571468 kB
Cached:         37608012 kB
SwapCached:      6346108 kB
Active:         29329484 kB
Inactive:       26797996 kB
Active(anon):   13014412 kB
Inactive(anon):  7212232 kB
Active(file):   16315072 kB
Inactive(file): 19585764 kB
Unevictable:      514120 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20266928 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2628 kB
Writeback:            20 kB
AnonPages:      18385624 kB
Mapped:          2490692 kB
Shmem:           2279488 kB
KReclaimable:    2187000 kB
Slab:            3018748 kB
SReclaimable:    2187000 kB
SUnreclaim:       831748 kB
KernelStack:       66492 kB
PageTables:       284684 kB
SecPageTables:     10500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   95137904 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171700 kB
VmallocChunk:          0 kB
Percpu:            24896 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   487424 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9615360 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
