MemTotal:       63903732 kB
MemFree:         2512532 kB
MemAvailable:   40457760 kB
Buffers:          911908 kB
Cached:         37806728 kB
SwapCached:      6271720 kB
Active:         30516644 kB
Inactive:       26506916 kB
Active(anon):   13633916 kB
Inactive(anon):  6922008 kB
Active(file):   16882728 kB
Inactive(file): 19584908 kB
Unevictable:      582904 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20277240 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4468 kB
Writeback:            20 kB
AnonPages:      18813572 kB
Mapped:          2497856 kB
Shmem:           2251840 kB
KReclaimable:    2205480 kB
Slab:            3041132 kB
SReclaimable:    2205480 kB
SUnreclaim:       835652 kB
KernelStack:       67140 kB
PageTables:       287176 kB
SecPageTables:     10836 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   96122700 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      172380 kB
VmallocChunk:          0 kB
Percpu:            25664 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   339968 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9807872 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
