MemTotal:       63903732 kB
MemFree:         3340832 kB
MemAvailable:   40807476 kB
Buffers:          583952 kB
Cached:         37671864 kB
SwapCached:      6375736 kB
Active:         29471156 kB
Inactive:       26847532 kB
Active(anon):   13140064 kB
Inactive(anon):  7181156 kB
Active(file):   16331092 kB
Inactive(file): 19666376 kB
Unevictable:      489444 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       20277024 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4824 kB
Writeback:            16 kB
AnonPages:      18474688 kB
Mapped:          2468528 kB
Shmem:           2259196 kB
KReclaimable:    2188872 kB
Slab:            3022928 kB
SReclaimable:    2188872 kB
SUnreclaim:       834056 kB
KernelStack:       66420 kB
PageTables:       283676 kB
SecPageTables:     10508 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   94832988 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      171572 kB
VmallocChunk:          0 kB
Percpu:            25184 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   462848 kB
ShmemPmdMapped:        0 kB
FileHugePages:   9639936 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      419596 kB
DirectMap2M:    18870272 kB
DirectMap1G:    48234496 kB
