pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 4
number of threads: 4
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 587540
number of failed transactions: 0 (0.000%)
latency average = 0.068 ms
initial connection time = 13.240 ms
tps = 58830.173308 (without initial connection time)
===LOGS===
0 6 62 0 1788978390 579820
0 43 61 0 1788978390 583656
0 54 45 0 1788978390 584180
0 77 61 0 1788978390 586830
0 91 73 0 1788978390 587931
0 106 78 0 1788978390 589176
0 111 80 0 1788978390 589569
0 113 95 0 1788978390 589758
0 117 77 0 1788978390 590089
0 131 56 0 1788978390 590988
0 137 42 0 1788978390 591260
0 153 54 0 1788978390 592214
0 162 72 0 1788978390 592733
0 165 61 0 1788978390 592919
0 169 62 0 1788978390 593170
0 170 64 0 1788978390 593237
0 196 58 0 1788978390 595021
0 211 53 0 1788978390 595936
0 223 62 0 1788978390 596580
0 254 44 0 1788978390 598549
0 269 38 0 1788978390 599306
0 270 39 0 1788978390 599347
0 283 37 0 1788978390 599926
0 337 39 0 1788978390 602299
0 342 39 0 1788978390 602501
0 376 38 0 1788978390 604005
0 412 38 0 1788978390 605421
0 424 56 0 1788978390 606077
0 444 73 0 1788978390 607309
0 455 70 0 1788978390 608007
0 464 73 0 1788978390 608589
0 475 66 0 1788978390 609369
0 514 0 0 1788978390 612593
0 521 81 0 1788978390 613189
0 543 103 0 1788978390 615023
0 548 81 0 1788978390 615413
0 589 59 0 1788978390 618313
0 608 0 0 1788978390 619777
0 614 73 0 1788978390 620254
0 627 57 0 1788978390 621108
0 646 45 0 1788978390 622180
0 671 0 0 1788978390 623693
0 721 39 0 1788978390 626027
0 745 61 0 1788978390 627275
0 757 0 0 1788978390 628053
0 775 60 0 1788978390 629220
0 784 66 0 1788978390 629807
0 794 59 0 1788978390 630389
0 805 51 0 1788978390 631051
0 828 56 0 1788978390 632429
0 856 60 0 1788978390 634269
0 864 67 0 1788978390 634814
0 886 64 0 1788978390 636340
0 897 63 0 1788978390 637074
0 898 62 0 1788978390 637139
0 902 65 0 1788978390 637404
0 903 69 0 1788978390 637475
0 905 78 0 1788978390 637620
0 919 72 0 1788978390 638580
0 922 59 0 1788978390 638774
0 924 65 0 1788978390 638898
0 958 43 0 1788978390 640875
0 980 43 0 1788978390 641913
0 1017 69 0 1788978390 645284
0 1122 53 0 1788978390 651995
0 1127 60 0 1788978390 652320
0 1142 52 0 1788978390 653322
0 1147 64 0 1788978390 653591
0 1151 58 0 1788978390 653900
0 1164 82 0 1788978390 654824
0 1166 61 0 1788978390 654959
0 1169 59 0 1788978390 655133
0 1172 57 0 1788978390 655329
0 1191 64 0 1788978390 656591
0 1200 75 0 1788978390 657187
0 1202 59 0 1788978390 657313
0 1222 0 0 1788978390 658704
0 1229 0 0 1788978390 659101
0 1238 0 0 1788978390 659659
0 1261 0 0 1788978390 660928
0 1276 67 0 1788978390 661916
0 1296 64 0 1788978390 663252
0 1306 72 0 1788978390 664013
0 1320 54 0 1788978390 665039
0 1334 51 0 1788978390 665918
0 1343 50 0 1788978390 666378
0 1396 53 0 1788978390 669320
0 1406 53 0 1788978390 669936
0 1410 54 0 1788978390 670152
0 1435 67 0 1788978390 671778
0 1438 0 0 1788978390 671969
0 1441 54 0 1788978390 672161
0 1455 51 0 1788978390 672915
0 1475 51 0 1788978390 673969
0 1481 54 0 1788978390 674288
0 1502 56 0 1788978390 675462
0 1510 57 0 1788978390 675931
0 1519 46 0 1788978390 676399
0 1535 53 0 1788978390 677236
0 1552 52 0 1788978390 678162
0 1602 50 0 1788978390 680865
0 1624 51 0 1788978390 681996
0 1637 69 0 1788978390 682680
0 1670 55 0 1788978390 684387
0 1714 60 0 1788978390 686992
0 1723 75 0 1788978390 687623
0 1737 62 0 1788978390 688531
0 1747 0 0 1788978390 689165
0 1775 93 0 1788978390 691731
0 1781 78 0 1788978390 692185
0 1834 59 0 1788978390 695911
0 1840 70 0 1788978390 696334
0 1856 69 0 1788978390 698307
0 1864 61 0 1788978390 698889
0 1885 68 0 1788978390 700499
0 1909 76 0 1788978390 702301
0 1914 83 0 1788978390 702716
0 1921 84 0 1788978390 703267
0 1946 75 0 1788978390 705297
0 1958 0 0 1788978390 706199
0 1969 71 0 1788978390 707005
0 1970 86 0 1788978390 707095
0 2011 98 0 1788978390 711171
0 2018 0 0 1788978390 711964
0 2048 68 0 1788978390 714272
0 2049 76 0 1788978390 714352
0 2052 69 0 1788978390 714558
0 2061 67 0 1788978390 715206
0 2066 63 0 1788978390 715537
0 2067 79 0 1788978390 715618
0 2123 103 0 1788978390 720146
0 2150 157 0 1788978390 722745
0 2194 143 0 1788978390 726718
0 2231 72 0 1788978390 729595
0 2255 81 0 1788978390 731796
