window_s,path,app_p50_ms,app_p99_ms,writes
0,old-outbox,0.491,0.691,20
0,new-cdc,0.198,0.331,20
1,old-outbox,0.427,2.056,20
1,new-cdc,0.202,0.731,20
2,old-outbox,0.406,0.657,20
2,new-cdc,0.196,0.362,20
3,old-outbox,0.411,0.717,20
3,new-cdc,0.184,0.462,20
4,old-outbox,0.270,0.585,200
4,new-cdc,0.168,0.425,200
5,old-outbox,0.303,1.480,200
5,new-cdc,0.176,0.729,200
6,old-outbox,0.266,0.565,200
6,new-cdc,0.168,0.455,200
7,old-outbox,0.476,0.794,20
7,new-cdc,0.208,0.386,20
8,old-outbox,0.514,0.596,20
8,new-cdc,0.201,0.378,20
9,old-outbox,0.454,0.611,20
9,new-cdc,0.201,0.317,20
10,old-outbox,0.470,0.983,20
10,new-cdc,0.201,2.212,20
11,old-outbox,0.447,0.546,20
11,new-cdc,0.193,0.297,20
12,old-outbox,0.455,1.766,20
12,new-cdc,0.201,1.424,20
13,old-outbox,0.476,2.977,20
13,new-cdc,0.186,0.500,20
14,old-outbox,0.448,0.662,20
14,new-cdc,0.196,0.345,20
15,old-outbox,0.512,4.607,20
15,new-cdc,0.202,0.827,20
16,old-outbox,0.466,0.672,20
16,new-cdc,0.200,0.291,20
17,old-outbox,0.466,0.609,20
17,new-cdc,0.210,0.320,20
18,old-outbox,0.489,0.552,20
18,new-cdc,0.208,0.301,20
19,old-outbox,0.516,2.517,20
19,new-cdc,0.201,0.888,20
20,old-outbox,0.425,0.600,20
20,new-cdc,0.194,0.289,20
