pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 792019
number of failed transactions: 0 (0.000%)
latency average = 0.101 ms
initial connection time = 23.224 ms
tps = 79383.266950 (without initial connection time)
===LOGS===
0 4 149 0 1788646225 208304
0 6 135 0 1788646225 208522
0 8 90 0 1788646225 208983
0 18 71 0 1788646225 209873
0 20 62 0 1788646225 210032
0 29 102 0 1788646225 210774
0 51 96 0 1788646225 213168
0 62 92 0 1788646225 214240
0 66 0 0 1788646225 214661
0 68 0 0 1788646225 214790
0 73 0 0 1788646225 215470
0 75 0 0 1788646225 215652
0 77 0 0 1788646225 215870
0 80 0 0 1788646225 216059
0 95 0 0 1788646225 218038
0 96 0 0 1788646225 218161
0 99 0 0 1788646225 218448
0 104 0 0 1788646225 218927
0 107 0 0 1788646225 219342
0 114 0 0 1788646225 220259
0 115 0 0 1788646225 220351
0 116 0 0 1788646225 220443
0 120 0 0 1788646225 220848
0 125 0 0 1788646225 221368
0 130 0 0 1788646225 221854
0 140 0 0 1788646225 223041
0 141 0 0 1788646225 223215
0 142 0 0 1788646225 223332
0 143 0 0 1788646225 223444
0 144 0 0 1788646225 223569
0 145 0 0 1788646225 223756
0 172 0 0 1788646225 226693
0 174 99 0 1788646225 226874
0 177 73 0 1788646225 227156
0 178 102 0 1788646225 227263
0 179 80 0 1788646225 227345
0 184 0 0 1788646225 227905
0 189 0 0 1788646225 228425
0 200 0 0 1788646225 229459
0 226 100 0 1788646225 232021
0 240 114 0 1788646225 233282
0 242 0 0 1788646225 233497
0 245 0 0 1788646225 233798
0 246 77 0 1788646225 233878
0 247 98 0 1788646225 233979
0 251 68 0 1788646225 234270
0 253 82 0 1788646225 234423
0 261 52 0 1788646225 234917
0 267 55 0 1788646225 235273
0 268 62 0 1788646225 235337
0 273 61 0 1788646225 235644
0 276 62 0 1788646225 235838
0 285 65 0 1788646225 236459
0 289 0 0 1788646225 236746
0 299 80 0 1788646225 237477
0 300 97 0 1788646225 237576
0 304 80 0 1788646225 237955
