pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 64
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 598188
number of failed transactions: 0 (0.000%)
latency average = 1.045 ms
initial connection time = 250.365 ms
tps = 61233.846843 (without initial connection time)
===LOGS===
3 2 801 0 1788649974 515216
5 3 193 0 1788649974 515611
1 12 10841 0 1788649974 530169
1 18 1525 0 1788649974 536996
2 14 175 0 1788649974 537217
1 20 903 0 1788649974 538352
2 29 822 0 1788649974 548145
6 12 1736 0 1788649974 548266
2 30 969 0 1788649974 549121
3 38 450 0 1788649974 554814
4 31 192 0 1788649974 559160
4 42 971 0 1788649974 565749
4 43 2894 0 1788649974 568699
7 55 526 0 1788649974 570128
1 66 414 0 1788649974 571215
5 41 634 0 1788649974 572263
0 34 1961 0 1788649974 573635
1 72 746 0 1788649974 576387
6 44 575 0 1788649974 576400
5 45 786 0 1788649974 577487
0 48 1069 0 1788649974 585178
0 52 849 0 1788649974 588473
1 84 858 0 1788649974 588988
2 58 1833 0 1788649974 592817
0 59 985 0 1788649974 596106
0 60 915 0 1788649974 597026
0 66 1022 0 1788649974 602396
0 68 815 0 1788649974 604136
4 78 1511 0 1788649974 607380
7 90 2229 0 1788649974 608188
3 64 1761 0 1788649974 610999
0 79 495 0 1788649974 614168
7 97 460 0 1788649974 617205
7 98 1216 0 1788649974 618672
0 86 1084 0 1788649974 621484
7 103 95 0 1788649974 624821
0 94 855 0 1788649974 633947
5 99 1003 0 1788649974 641988
5 104 860 0 1788649974 649065
7 129 562 0 1788649974 653592
5 110 1838 0 1788649974 655918
2 91 3960 0 1788649974 662374
0 111 775 0 1788649974 669505
2 102 246 0 1788649974 678680
4 126 860 0 1788649974 681873
5 123 840 0 1788649974 683141
3 102 1876 0 1788649974 685211
5 125 1193 0 1788649974 685441
4 133 2036 0 1788649974 690475
4 135 0 0 1788649974 692387
7 149 1376 0 1788649974 693959
1 164 1223 0 1788649974 703358
1 166 868 0 1788649974 707925
7 155 2932 0 1788649974 707946
3 114 538 0 1788649974 711851
6 131 2512 0 1788649974 717585
0 151 1535 0 1788649974 730810
1 190 1152 0 1788649974 737535
0 156 1229 0 1788649974 738583
6 148 644 0 1788649974 738928
3 125 3762 0 1788649974 739383
1 192 1689 0 1788649974 740386
4 172 1629 0 1788649974 751012
1 218 565 0 1788649974 758832
1 219 1020 0 1788649974 759863
7 186 1485 0 1788649974 760210
0 170 1495 0 1788649974 764870
7 193 3125 0 1788649974 774069
1 227 3942 0 1788649974 774811
3 145 1126 0 1788649974 777679
1 231 3019 0 1788649974 782136
5 190 0 0 1788649974 792079
2 158 1614 0 1788649974 797937
2 159 203 0 1788649974 798147
3 159 989 0 1788649974 804466
7 212 1451 0 1788649974 811501
0 195 1372 0 1788649974 812217
4 198 825 0 1788649974 814595
2 170 1408 0 1788649974 821572
5 199 1313 0 1788649974 821982
0 207 2408 0 1788649974 830972
6 199 2214 0 1788649974 831836
6 201 2354 0 1788649974 835660
1 267 1697 0 1788649974 844170
7 236 2311 0 1788649974 853377
7 239 1630 0 1788649974 856760
4 235 2959 0 1788649974 862336
7 245 1274 0 1788649974 863184
5 232 1271 0 1788649974 863807
5 233 1117 0 1788649974 864929
6 226 1229 0 1788649974 869436
6 230 1265 0 1788649974 875422
7 254 1054 0 1788649974 875642
1 294 4116 0 1788649974 886342
2 218 473 0 1788649974 896063
3 212 300 0 1788649974 896419
2 219 402 0 1788649974 896475
3 214 382 0 1788649974 896906
6 240 1832 0 1788649974 902299
0 251 1341 0 1788649974 903450
0 254 681 0 1788649974 907553
7 271 1634 0 1788649974 910322
1 307 1773 0 1788649974 911164
0 267 1660 0 1788649974 921852
4 274 1341 0 1788649974 931613
1 328 597 0 1788649974 933201
1 344 0 0 1788649974 947265
6 273 1980 0 1788649974 951968
1 348 1429 0 1788649974 954335
4 289 556 0 1788649974 955021
7 294 2272 0 1788649974 955517
0 288 2446 0 1788649974 958012
5 292 487 0 1788649974 958071
6 283 575 0 1788649974 959002
5 295 1167 0 1788649974 960025
6 287 439 0 1788649974 962920
1 354 88 0 1788649974 966018
1 356 1104 0 1788649974 967220
2 246 2062 0 1788649974 969128
2 256 557 0 1788649974 974875
7 306 2067 0 1788649974 978522
2 262 701 0 1788649974 978658
1 363 5448 0 1788649974 983920
3 258 4021 0 1788649974 983934
6 314 5334 0 1788649974 984545
5 329 550 0 1788649974 986920
1 369 2345 0 1788649974 995068
5 342 473 0 1788649974 995981
2 279 807 0 1788649974 996823
6 340 388 0 1788649974 999013
6 346 399 0 1788649975 2561
3 281 972 0 1788649975 2993
4 324 5880 0 1788649975 14195
5 364 2463 0 1788649975 19731
6 357 561 0 1788649975 21593
6 361 842 0 1788649975 25125
0 327 545 0 1788649975 25467
6 366 678 0 1788649975 28276
2 303 770 0 1788649975 28762
2 307 709 0 1788649975 31842
4 348 694 0 1788649975 32366
7 327 1895 0 1788649975 33999
4 355 773 0 1788649975 36660
6 379 688 0 1788649975 36830
2 313 957 0 1788649975 37075
0 347 579 0 1788649975 38341
0 356 1044 0 1788649975 44638
6 392 490 0 1788649975 44878
3 322 353 0 1788649975 48612
2 336 780 0 1788649975 55622
1 395 2386 0 1788649975 62188
6 416 1258 0 1788649975 66254
0 382 966 0 1788649975 66544
3 356 1114 0 1788649975 81297
0 392 628 0 1788649975 85212
2 366 1058 0 1788649975 88949
6 430 2215 0 1788649975 91503
7 355 2953 0 1788649975 91790
3 389 559 0 1788649975 115839
1 423 13009 0 1788649975 128071
2 388 1147 0 1788649975 130997
3 401 677 0 1788649975 135441
2 415 246 0 1788649975 148398
0 416 3746 0 1788649975 151393
2 422 542 0 1788649975 151599
2 423 570 0 1788649975 152174
3 421 1041 0 1788649975 157174
3 422 712 0 1788649975 157915
2 437 240 0 1788649975 160747
3 429 870 0 1788649975 163788
2 443 824 0 1788649975 166452
3 436 726 0 1788649975 169338
0 422 5917 0 1788649975 172734
3 446 679 0 1788649975 175795
3 450 633 0 1788649975 178726
6 461 3123 0 1788649975 186899
2 479 471 0 1788649975 196287
6 463 7260 0 1788649975 196302
3 477 227 0 1788649975 203675
3 480 423 0 1788649975 204991
2 497 765 0 1788649975 206450
2 502 716 0 1788649975 209035
0 434 2272 0 1788649975 210220
2 524 1212 0 1788649975 226387
6 476 1318 0 1788649975 229955
1 463 1334 0 1788649975 232438
3 512 986 0 1788649975 234928
2 534 1185 0 1788649975 235644
7 408 875 0 1788649975 238169
6 486 982 0 1788649975 239192
6 488 1159 0 1788649975 241005
3 519 1023 0 1788649975 241908
3 520 808 0 1788649975 242745
2 542 941 0 1788649975 243449
6 497 666 0 1788649975 249152
7 424 725 0 1788649975 252408
3 530 682 0 1788649975 252507
1 475 1544 0 1788649975 254641
3 533 791 0 1788649975 255461
2 557 1652 0 1788649975 258507
0 461 6768 0 1788649975 259977
0 462 178 0 1788649975 260160
7 437 1006 0 1788649975 265609
7 440 420 0 1788649975 273505
5 521 1165 0 1788649975 304395
4 484 4648 0 1788649975 311800
2 576 2705 0 1788649975 316731
2 583 134 0 1788649975 318259
4 494 511 0 1788649975 320111
0 493 1353 0 1788649975 324115
6 566 1078 0 1788649975 328569
2 616 189 0 1788649975 329009
0 498 1094 0 1788649975 329536
0 499 2524 0 1788649975 332068
2 644 204 0 1788649975 336514
2 647 101 0 1788649975 337062
2 648 218 0 1788649975 337293
2 655 81 0 1788649975 338178
5 553 300 0 1788649975 340174
2 673 100 0 1788649975 341671
7 502 381 0 1788649975 344113
2 694 222 0 1788649975 344952
0 514 678 0 1788649975 346711
1 528 2160 0 1788649975 347136
4 518 1051 0 1788649975 348586
5 561 1390 0 1788649975 350643
5 562 889 0 1788649975 351562
2 732 153 0 1788649975 353695
2 739 173 0 1788649975 357544
6 592 832 0 1788649975 358134
1 542 1174 0 1788649975 365640
3 578 847 0 1788649975 366140
2 761 177 0 1788649975 371769
6 605 1468 0 1788649975 373981
6 607 1223 0 1788649975 376723
3 595 719 0 1788649975 381706
6 614 575 0 1788649975 383465
5 589 1524 0 1788649975 385447
1 559 2541 0 1788649975 386990
1 561 1062 0 1788649975 388759
6 626 1138 0 1788649975 397708
2 787 1208 0 1788649975 397866
7 553 143 0 1788649975 400568
3 621 1239 0 1788649975 405865
5 602 1106 0 1788649975 407301
0 568 3084 0 1788649975 422271
4 573 876 0 1788649975 424979
2 808 3428 0 1788649975 426720
2 809 1028 0 1788649975 427784
1 595 2172 0 1788649975 458057
4 586 1231 0 1788649975 460210
2 819 4545 0 1788649975 462871
4 588 1146 0 1788649975 463475
1 600 735 0 1788649975 464341
0 592 1128 0 1788649975 465639
0 595 1130 0 1788649975 469214
