pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 278800
number of failed transactions: 0 (0.000%)
latency average = 0.036 ms
initial connection time = 6.609 ms
tps = 27898.172870 (without initial connection time)
===LOGS===
0 2 45 0 1788651219 366973
0 3 35 0 1788651219 367019
0 30 33 0 1788651219 367947
0 42 41 0 1788651219 368428
0 55 73 0 1788651219 369115
0 114 32 0 1788651219 372053
0 125 32 0 1788651219 372410
0 132 37 0 1788651219 372675
0 140 38 0 1788651219 373003
0 173 32 0 1788651219 374137
0 185 32 0 1788651219 374535
0 230 43 0 1788651219 376398
0 257 43 0 1788651219 377410
0 266 66 0 1788651219 377757
0 267 44 0 1788651219 377803
0 280 33 0 1788651219 378270
0 320 34 0 1788651219 380193
0 352 32 0 1788651219 381301
0 369 32 0 1788651219 381909
0 378 33 0 1788651219 382228
0 382 40 0 1788651219 382369
0 384 32 0 1788651219 382438
0 392 55 0 1788651219 382733
0 449 40 0 1788651219 384869
0 453 38 0 1788651219 385027
0 457 39 0 1788651219 385185
0 497 34 0 1788651219 386845
0 520 36 0 1788651219 387633
0 556 46 0 1788651219 389163
0 560 44 0 1788651219 389364
0 571 45 0 1788651219 390073
0 582 47 0 1788651219 390582
0 626 33 0 1788651219 392188
0 632 35 0 1788651219 392391
0 661 33 0 1788651219 393463
0 684 32 0 1788651219 394249
0 707 33 0 1788651219 395035
0 717 33 0 1788651219 395371
0 753 34 0 1788651219 396828
0 769 45 0 1788651219 397407
0 822 40 0 1788651219 399263
0 827 42 0 1788651219 399521
0 852 34 0 1788651219 400474
0 863 32 0 1788651219 400901
0 887 36 0 1788651219 401791
0 901 34 0 1788651219 402272
0 920 33 0 1788651219 403083
0 939 36 0 1788651219 403784
0 1000 45 0 1788651219 406071
0 1019 45 0 1788651219 406975
0 1022 45 0 1788651219 407114
0 1024 46 0 1788651219 407208
0 1042 45 0 1788651219 408061
0 1057 34 0 1788651219 408712
0 1086 47 0 1788651219 409737
0 1094 34 0 1788651219 410011
0 1108 34 0 1788651219 410480
0 1113 34 0 1788651219 410649
0 1127 33 0 1788651219 411127
0 1146 34 0 1788651219 411817
0 1157 46 0 1788651219 412228
0 1160 46 0 1788651219 412374
0 1182 54 0 1788651219 413409
0 1195 46 0 1788651219 413903
0 1214 35 0 1788651219 414780
0 1232 33 0 1788651219 415390
0 1243 34 0 1788651219 415821
0 1346 35 0 1788651219 419468
0 1442 34 0 1788651219 422802
0 1472 33 0 1788651219 423866
0 1483 34 0 1788651219 424253
0 1502 34 0 1788651219 424940
0 1548 34 0 1788651219 426586
0 1560 33 0 1788651219 427024
0 1614 44 0 1788651219 429212
0 1631 45 0 1788651219 430001
0 1636 45 0 1788651219 430230
0 1663 45 0 1788651219 431471
0 1709 43 0 1788651219 433533
0 1722 43 0 1788651219 434116
0 1741 32 0 1788651219 434845
0 1755 32 0 1788651219 435300
0 1766 33 0 1788651219 435658
0 1807 33 0 1788651219 437049
0 1822 36 0 1788651219 437545
0 1828 47 0 1788651219 437764
0 1845 33 0 1788651219 438332
0 1850 39 0 1788651219 438504
0 1945 38 0 1788651219 441725
0 1948 36 0 1788651219 441853
0 1951 33 0 1788651219 441952
0 1953 33 0 1788651219 442019
0 1957 32 0 1788651219 442150
0 1991 32 0 1788651219 443304
0 1992 33 0 1788651219 443338
0 2019 34 0 1788651219 444249
0 2051 33 0 1788651219 445407
0 2058 66 0 1788651219 445735
0 2209 34 0 1788651219 451214
0 2240 43 0 1788651219 452328
0 2255 33 0 1788651219 452931
0 2259 37 0 1788651219 453073
0 2263 34 0 1788651219 453220
0 2296 34 0 1788651219 454427
0 2319 32 0 1788651219 455227
0 2335 37 0 1788651219 455776
0 2375 32 0 1788651219 457341
0 2377 38 0 1788651219 457415
0 2384 36 0 1788651219 457682
0 2390 37 0 1788651219 457935
0 2391 38 0 1788651219 457975
0 2436 55 0 1788651219 459757
0 2462 32 0 1788651219 460645
0 2465 46 0 1788651219 460756
0 2479 41 0 1788651219 461300
0 2484 32 0 1788651219 461482
0 2549 35 0 1788651219 464006
0 2553 32 0 1788651219 464144
0 2579 32 0 1788651219 465050
0 2581 33 0 1788651219 465121
0 2586 32 0 1788651219 465286
0 2600 45 0 1788651219 465954
0 2630 46 0 1788651219 467327
0 2657 32 0 1788651219 468282
0 2660 32 0 1788651219 468381
0 2681 33 0 1788651219 469087
0 2695 33 0 1788651219 469549
0 2711 32 0 1788651219 470113
0 2739 32 0 1788651219 471017
0 2752 32 0 1788651219 471438
0 2774 44 0 1788651219 472297
0 2783 45 0 1788651219 472695
0 2793 43 0 1788651219 473148
0 2824 44 0 1788651219 474516
0 2856 44 0 1788651219 475967
0 2874 64 0 1788651219 476777
0 2893 43 0 1788651219 477616
0 2902 50 0 1788651219 478044
0 2921 71 0 1788651219 478936
0 2927 34 0 1788651219 479285
0 2928 36 0 1788651219 479324
0 2939 52 0 1788651219 479827
0 3070 43 0 1788651219 485640
0 3086 44 0 1788651219 486367
0 3099 33 0 1788651219 486957
0 3165 31 0 1788651219 489666
0 3168 34 0 1788651219 489790
0 3190 31 0 1788651219 490530
0 3199 32 0 1788651219 490835
0 3213 33 0 1788651219 491287
0 3245 41 0 1788651219 492549
0 3273 32 0 1788651219 493505
0 3305 32 0 1788651219 494541
0 3309 38 0 1788651219 494690
0 3315 41 0 1788651219 494915
0 3317 41 0 1788651219 495004
0 3325 39 0 1788651219 495332
0 3392 31 0 1788651219 497870
0 3398 32 0 1788651219 498067
0 3423 31 0 1788651219 498894
0 3443 34 0 1788651219 499557
0 3463 59 0 1788651219 500723
0 3468 85 0 1788651219 501023
0 3480 75 0 1788651219 501759
0 3531 59 0 1788651219 503758
0 3533 33 0 1788651219 503833
0 3540 32 0 1788651219 504062
0 3552 32 0 1788651219 504468
0 3561 44 0 1788651219 504803
0 3567 76 0 1788651219 505136
0 3601 32 0 1788651219 506421
0 3620 32 0 1788651219 507071
0 3625 33 0 1788651219 507236
0 3626 60 0 1788651219 507296
0 3646 33 0 1788651219 507991
0 3649 32 0 1788651219 508090
0 3670 35 0 1788651219 509350
0 3722 38 0 1788651219 511286
0 3749 33 0 1788651219 512192
0 3759 42 0 1788651219 512599
0 3771 33 0 1788651219 513071
0 3781 32 0 1788651219 513422
0 3786 32 0 1788651219 513585
0 3796 31 0 1788651219 513930
0 3797 33 0 1788651219 513964
0 3812 32 0 1788651219 514443
0 3878 32 0 1788651219 516692
0 3881 44 0 1788651219 516864
0 3887 33 0 1788651219 517070
0 3895 33 0 1788651219 517338
0 3897 33 0 1788651219 517405
0 3927 37 0 1788651219 518437
0 3948 44 0 1788651219 519279
0 3972 33 0 1788651219 520165
0 3983 32 0 1788651219 520546
0 3991 32 0 1788651219 520816
0 4024 33 0 1788651219 521917
0 4036 34 0 1788651219 522323
0 4051 35 0 1788651219 522859
0 4066 32 0 1788651219 523359
0 4073 34 0 1788651219 523589
0 4094 35 0 1788651219 524299
0 4108 39 0 1788651219 524794
0 4112 34 0 1788651219 524933
0 4161 32 0 1788651219 526606
0 4181 31 0 1788651219 527267
0 4188 33 0 1788651219 527528
0 4231 47 0 1788651219 529032
0 4260 33 0 1788651219 530274
0 4271 35 0 1788651219 530640
0 4286 32 0 1788651219 531132
0 4292 32 0 1788651219 531326
0 4314 32 0 1788651219 532100
0 4324 32 0 1788651219 532423
0 4344 33 0 1788651219 533100
0 4356 32 0 1788651219 533494
0 4362 32 0 1788651219 533689
0 4365 38 0 1788651219 533830
0 4375 32 0 1788651219 534156
0 4377 32 0 1788651219 534222
0 4431 35 0 1788651219 536065
0 4432 34 0 1788651219 536101
0 4440 33 0 1788651219 536366
0 4444 36 0 1788651219 536501
0 4458 33 0 1788651219 537031
0 4533 33 0 1788651219 539613
