MemTotal:       63903732 kB
MemFree:         2737028 kB
MemAvailable:   45046640 kB
Buffers:          782012 kB
Cached:         42080568 kB
SwapCached:      2145804 kB
Active:         28285556 kB
Inactive:       28383108 kB
Active(anon):   12491500 kB
Inactive(anon):  3846352 kB
Active(file):   15794056 kB
Inactive(file): 24536756 kB
Unevictable:      378540 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29571000 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1828 kB
Writeback:             8 kB
AnonPages:      14112576 kB
Mapped:          2844540 kB
Shmem:           2532512 kB
KReclaimable:    2698496 kB
Slab:            3521100 kB
SReclaimable:    2698496 kB
SUnreclaim:       822604 kB
KernelStack:       59972 kB
PageTables:       222644 kB
SecPageTables:      9272 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   78318916 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163028 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1130496 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10100736 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
