MemTotal:       63903732 kB
MemFree:         2798220 kB
MemAvailable:   45104524 kB
Buffers:          781480 kB
Cached:         42102452 kB
SwapCached:      2145804 kB
Active:         28181924 kB
Inactive:       28380012 kB
Active(anon):   12387864 kB
Inactive(anon):  3846568 kB
Active(file):   15794060 kB
Inactive(file): 24533444 kB
Unevictable:      404236 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29571000 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2000 kB
Writeback:             4 kB
AnonPages:      14010404 kB
Mapped:          2844220 kB
Shmem:           2557176 kB
KReclaimable:    2698496 kB
Slab:            3521068 kB
SReclaimable:    2698496 kB
SUnreclaim:       822572 kB
KernelStack:       60068 kB
PageTables:       222560 kB
SecPageTables:      9268 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   78325704 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      162916 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1155072 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10100736 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
