MemTotal:       63903732 kB
MemFree:         2650016 kB
MemAvailable:   44963208 kB
Buffers:          787664 kB
Cached:         42180004 kB
SwapCached:      2146940 kB
Active:         28267964 kB
Inactive:       28420984 kB
Active(anon):   12469116 kB
Inactive(anon):  3840384 kB
Active(file):   15798848 kB
Inactive(file): 24580600 kB
Unevictable:      434636 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29572376 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2944 kB
Writeback:             0 kB
AnonPages:      14083912 kB
Mapped:          2810364 kB
Shmem:           2588972 kB
KReclaimable:    2698496 kB
Slab:            3522540 kB
SReclaimable:    2698496 kB
SUnreclaim:       824044 kB
KernelStack:       60200 kB
PageTables:       225192 kB
SecPageTables:      9284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   79400256 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      163260 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1175552 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10121216 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
