pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 798397
number of failed transactions: 0 (0.000%)
latency average = 0.100 ms
initial connection time = 18.421 ms
tps = 79977.725559 (without initial connection time)
===LOGS===
0 41 83 0 1788866913 508690
0 67 164 0 1788866913 511177
0 70 74 0 1788866913 511533
0 78 144 0 1788866913 512562
0 112 91 0 1788866913 516467
0 171 70 0 1788866913 521420
0 194 60 0 1788866913 523071
0 215 95 0 1788866913 524807
0 241 81 0 1788866913 527369
0 273 220 0 1788866913 531056
0 278 70 0 1788866913 531526
0 302 148 0 1788866913 534274
0 313 126 0 1788866913 535758
0 327 111 0 1788866913 537328
0 343 102 0 1788866913 538984
0 363 117 0 1788866913 540905
0 370 141 0 1788866913 541746
0 395 0 0 1788866913 544423
0 419 77 0 1788866913 546497
0 448 72 0 1788866913 549117
0 450 71 0 1788866913 549267
0 488 71 0 1788866913 552845
0 501 60 0 1788866913 553798
0 526 95 0 1788866913 556200
0 529 75 0 1788866913 556442
0 568 102 0 1788866913 560621
0 581 78 0 1788866913 561735
0 594 71 0 1788866913 562786
0 603 64 0 1788866913 563466
0 619 97 0 1788866913 564987
0 641 96 0 1788866913 566825
0 686 79 0 1788866913 570072
0 705 96 0 1788866913 571368
0 709 98 0 1788866913 571668
0 717 85 0 1788866913 572333
0 737 0 0 1788866913 573855
0 751 0 0 1788866913 574854
0 757 69 0 1788866913 575280
0 773 71 0 1788866913 577279
0 786 98 0 1788866913 578481
0 818 93 0 1788866913 583378
0 823 85 0 1788866913 583838
0 867 75 0 1788866913 587319
0 869 75 0 1788866913 587476
0 872 75 0 1788866913 587710
0 889 77 0 1788866913 589061
0 890 79 0 1788866913 589145
0 895 78 0 1788866913 589540
0 899 75 0 1788866913 589859
0 907 72 0 1788866913 590452
0 927 69 0 1788866913 593128
0 937 0 0 1788866913 593909
0 949 77 0 1788866913 594876
0 995 67 0 1788866913 598901
0 1000 66 0 1788866913 599238
0 1053 69 0 1788866913 603072
0 1063 70 0 1788866913 603776
0 1067 71 0 1788866913 604064
0 1071 79 0 1788866913 604428
0 1085 74 0 1788866913 605473
0 1090 73 0 1788866913 605853
0 1093 74 0 1788866913 606101
0 1108 75 0 1788866913 607411
0 1112 75 0 1788866913 607719
0 1152 76 0 1788866913 610622
0 1156 84 0 1788866913 610932
0 1209 78 0 1788866913 616334
0 1231 86 0 1788866913 618249
0 1278 81 0 1788866913 622011
0 1280 81 0 1788866913 622178
0 1295 71 0 1788866913 624258
0 1311 72 0 1788866913 625560
0 1357 76 0 1788866913 630903
0 1358 77 0 1788866913 630983
0 1395 117 0 1788866913 634099
0 1409 77 0 1788866913 635548
0 1411 79 0 1788866913 635714
0 1413 64 0 1788866913 635847
0 1446 72 0 1788866913 638944
0 1448 72 0 1788866913 639096
0 1449 71 0 1788866913 639169
0 1497 76 0 1788866913 642668
0 1589 75 0 1788866913 650146
0 1598 74 0 1788866913 650832
0 1612 71 0 1788866913 651927
0 1722 70 0 1788866913 660235
0 1745 0 0 1788866913 662087
0 1775 74 0 1788866913 664379
0 1782 70 0 1788866913 664900
0 1786 69 0 1788866913 665183
0 1804 71 0 1788866913 667379
0 1887 1199 0 1788866913 675982
0 1912 92 0 1788866913 678422
0 1935 72 0 1788866913 680150
0 1966 73 0 1788866913 683556
0 1973 74 0 1788866913 684085
0 2000 70 0 1788866913 686084
0 2002 71 0 1788866913 686231
0 2016 71 0 1788866913 687226
0 2022 88 0 1788866913 687678
0 2025 62 0 1788866913 687885
0 2048 69 0 1788866913 689544
0 2081 68 0 1788866913 691883
0 2109 70 0 1788866913 693924
0 2162 104 0 1788866913 697956
0 2171 69 0 1788866913 698567
0 2249 67 0 1788866913 703962
0 2263 64 0 1788866913 704908
0 2280 69 0 1788866913 706050
0 2289 106 0 1788866913 706713
0 2292 67 0 1788866913 706914
0 2302 69 0 1788866913 707672
0 2311 57 0 1788866913 708336
0 2319 68 0 1788866913 709093
0 2348 83 0 1788866913 711198
0 2352 95 0 1788866913 711564
0 2381 73 0 1788866913 713964
0 2394 80 0 1788866913 714989
0 2421 76 0 1788866913 717130
0 2453 71 0 1788866913 719557
0 2459 74 0 1788866913 720019
