MemTotal:       63903732 kB
MemFree:         2528768 kB
MemAvailable:   44859760 kB
Buffers:          789160 kB
Cached:         42187108 kB
SwapCached:      2152276 kB
Active:         28377132 kB
Inactive:       28435604 kB
Active(anon):   12575724 kB
Inactive(anon):  3839764 kB
Active(file):   15801408 kB
Inactive(file): 24595840 kB
Unevictable:      403228 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29572740 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2584 kB
Writeback:             4 kB
AnonPages:      14167552 kB
Mapped:          2847824 kB
Shmem:           2579772 kB
KReclaimable:    2698496 kB
Slab:            3523944 kB
SReclaimable:    2698496 kB
SUnreclaim:       825448 kB
KernelStack:       61276 kB
PageTables:       230780 kB
SecPageTables:      9260 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   83207624 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      164212 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1150976 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10123264 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
