MemTotal:       63903732 kB
MemFree:         4357060 kB
MemAvailable:   45697272 kB
Buffers:          824212 kB
Cached:         40945228 kB
SwapCached:      2142912 kB
Active:         27805768 kB
Inactive:       27316920 kB
Active(anon):   12005336 kB
Inactive(anon):  3755296 kB
Active(file):   15800432 kB
Inactive(file): 23561624 kB
Unevictable:      295464 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29598896 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3684 kB
Writeback:            32 kB
AnonPages:      13580732 kB
Mapped:          2824496 kB
Shmem:           2408124 kB
KReclaimable:    2697852 kB
Slab:            3528512 kB
SReclaimable:    2697852 kB
SUnreclaim:       830660 kB
KernelStack:       59436 kB
PageTables:       216956 kB
SecPageTables:      9252 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   77620424 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      162500 kB
VmallocChunk:          0 kB
Percpu:            28064 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1067008 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10323968 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
