MemTotal:       63903732 kB
MemFree:         3579020 kB
MemAvailable:   45330076 kB
Buffers:          762324 kB
Cached:         41467508 kB
SwapCached:      2144180 kB
Active:         27875440 kB
Inactive:       27903512 kB
Active(anon):   12107920 kB
Inactive(anon):  3898800 kB
Active(file):   15767520 kB
Inactive(file): 24004712 kB
Unevictable:      381608 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29568456 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1768 kB
Writeback:             0 kB
AnonPages:      13859600 kB
Mapped:          2781232 kB
Shmem:           2458344 kB
KReclaimable:    2698520 kB
Slab:            3517856 kB
SReclaimable:    2698520 kB
SUnreclaim:       819336 kB
KernelStack:       58852 kB
PageTables:       214700 kB
SecPageTables:      9268 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   74744332 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      161780 kB
VmallocChunk:          0 kB
Percpu:            27392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:  1136640 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10119168 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
